species,oldSpeciesCanonicalName,similarity,prediction
Trachypachus inermis,Trachypachus oregonus,0.6536,not synonym
Trachypachus inermis,Trachypachus specularis,0.7883,synonym
Trachypachus zetterstedtii,Trachypachus laticollis,0.7318,synonym
Trachypachus zetterstedtii,Trachypachus transversicollis,0.5704,not synonym
Systolosoma breve,Notioxenus bilunulatus,0.4621,not synonym
Systolosoma breve,Systolosoma bilunulatum,0.8476,synonym
Necronectulus avus,Necronetulus avus,0.9469,synonym
Ademosynoides asiatica,Petrodromeus asiaticus,0.6456,not synonym
Ademosynoides chinatica,Toksunius chinaticus,0.6529,not synonym
Ademosynoides juxta,Dzeregia juxta,0.5629,not synonym
Gyrinites minimus,Phaulogyrinus minimus,0.8047,synonym
Epicerastes exstans,Epicerastes extans,0.9528,synonym
Epicerastes viridescens,Epicerastes viridanus,0.897,synonym
Protaedus butoniensis,Protaedus butoniense,0.9401,synonym
Protaedus frontaltus,Protaedus fontaltus,0.7713,synonym
Protaedus matertera,Protaedus materta,0.8024,synonym
Protaedus robusticornis,Protaedus robusticorne,0.9711,synonym
Bothrus taiwanus,Physopterus taiwanus,0.7739,synonym
Hucus numatus,Hucus numatus,1.0,synonym
Exillis aeruginosus,Exillis aeroginosus,0.8033,synonym
Dolichocera harmandi,Dolichocera hermandi,0.7854,synonym
Dolichocera schanus,Dolichocera schanus,1.0,synonym
Dolichocera tessellata,Dolichocera tessellatus,0.9711,synonym
Tophoderes depontanus,Syntophoderes depontanus,0.8055,synonym
Tophoderes sinuatocollis,Tophoderes sinuaticollis,0.8677,synonym
Anthribus moussonii,Anthribus moussoni,0.956,synonym
Anthribus nebulosus,Anthribus minimus,0.4689,not synonym
Anthribus nebulosus,Anthribus tesselatus,0.6323,not synonym
Anthribus nebulosus,Anthribus variegatus,0.7338,synonym
Anthribus nebulosus,Brachytarsus kusteri,0.4909,not synonym
Anthribus scapularis,Brachytarsus rosae,0.4428,not synonym
Deropygus chaerilus,Deropygus cherilus,0.9109,synonym
Electranthribus zherikhini,Glaesotropis zherikhini,0.7947,synonym
Sympaector revocans,Sympaector revocanus,0.8732,synonym
Phytocerum cayennense,Cerophytum cayennense,0.9142,synonym
Idiomerus brevicornis,Necromera brevicornis,0.8026,synonym
Idiomerus inflatus,Necromera inflata,0.5413,not synonym
Idiomerus intermedius,Necromera intermedia,0.4632,not synonym
Idiomerus latissimus,Necromera latissima,0.5882,not synonym
Idiomerus longicornis,Necromera longicornis,0.8102,synonym
Idiomerus musculus,Necromera muscula,0.4514,not synonym
Leptocnemus longus,Necromera longa,0.6976,not synonym
Baissophytum amplus,Baissopsis amplus,0.9292,synonym
Dolichocis laricinus,Ennearthron laricinum,0.6013,not synonym
Sulcacis bidentulus,Cis alpinus,0.4765,not synonym
Sulcacis curtulus,Cis criddlei,0.6127,not synonym
Sulcacis curtulus,Cis cylindricus,0.6658,not synonym
Sulcacis curtulus,Cis montana,0.5456,not synonym
Sulcacis curtulus,Cis sorror,0.4398,not synonym
Sulcacis curtulus,Sulcacis criddlei,0.896,synonym
Sulcacis curtulus,Sulcacis cylindricus,0.8845,synonym
Sulcacis curtulus,Sulcacis montana,0.7102,synonym
Sulcacis curtulus,Sulcacis niger,0.6699,not synonym
Sulcacis curtulus,Sulcacis sorror,0.7118,synonym
Sulcacis fronticornis,Cis fronticornis,0.7889,synonym
Sulcacis fronticornis,Rhopalodontus fronticornis,0.7445,synonym
Sulcacis nitidus,Cis nitidus,0.7279,synonym
Sulcacis nitidus,Ennearthron affine,0.2754,not synonym
Sulcacis nitidus,Ennearthron affinis,0.3366,not synonym
Sulcacis nitidus,Entypus affinis,0.3851,not synonym
Sulcacis nitidus,Sulcacis affinis,0.756,synonym
Strigocis bicornis,Entypus bicornis,0.6954,not synonym
Strigocis bicornis,Strigocis fronticornis,0.6089,not synonym
Strigocis bilimeki,Cis bilimeka,0.529,not synonym
Strigocis opalescens,Strigocis davisi,0.7339,synonym
Strigocis opalescens,Xestocis davisi,0.5523,not synonym
Strigocis opalescens,Xestocis opalescens,0.7412,synonym
Wagaicis wagae,Wagaicis wagai,0.9486,synonym
Malacocis brevicollis,Brachycis brevicollis,0.7226,synonym
Cis miles,Xestocis miles,0.6552,not synonym
Cis krausi,Cis bicolor,0.576,not synonym
Cis krausi,Cis bimaculatus,0.6377,not synonym
Cis krausi,Cis duryi,0.7805,synonym
Cis striatulus,Hadraule striatulus,0.5324,not synonym
Cis tetracentrum,Cis arizonae,0.6796,not synonym
Cis maritimus,Xestocis maritimus,0.633,not synonym
Cis ephippiatus,Cis ephippium,0.9038,synonym
Cis ephippiatus,Cis moznettei,0.6969,not synonym
Cis ephippiatus,Xestocis moznettei,0.4868,not synonym
Cis castaneus,Cis alter,0.5047,not synonym
Cis castaneus,Kateretes castaneus,0.7023,synonym
Cis tristis,Cis falli,0.6986,not synonym
Cis tristis,Cis setulosus,0.7537,synonym
Cis festivus,Orthocis festivus,0.7034,synonym
Cis levettei,Cis levellei,0.8009,synonym
Cis levettei,Xestocis levettei,0.6394,not synonym
Cis castlei,Xestocis castlei,0.712,synonym
Octotemnus laevis,Octotemnus denudatus,0.81,synonym
Hadraule elongatula,Ennearthron striata,0.4677,not synonym
Hadraule elongatula,Hadraule coarctata,0.7172,synonym
Hadraule elongatula,Hadraule striata,0.7038,synonym
Hadraule elongatula,Pityocis coarctata,0.3802,not synonym
Porculus dufaui,Cis dufaui,0.4796,not synonym
Ceracis bicornis,Ennearthron bicornis,0.7454,synonym
Ceracis californicus,Ceracis coloradensis,0.7584,synonym
Ceracis californicus,Ceracis convergens,0.6286,not synonym
Ceracis californicus,Ceracis discolor,0.6113,not synonym
Ceracis californicus,Ceracis grossulus,0.7618,synonym
Ceracis californicus,Ceracis oregonus,0.6674,not synonym
Ceracis californicus,Ennearthron californicus,0.7538,synonym
Ceracis californicus,Ennearthron coloradensis,0.5448,not synonym
Ceracis californicus,Ennearthron convergens,0.2785,not synonym
Ceracis californicus,Ennearthron discolor,0.27,not synonym
Ceracis californicus,Ennearthron grossulus,0.4392,not synonym
Ceracis californicus,Ennearthron oregonus,0.4016,not synonym
Ceracis castaneipennis,Ceracis ater,0.5754,not synonym
Ceracis castaneipennis,Ceracis rufipes,0.7967,synonym
Ceracis cornifer,Ceracis cylindricus,0.6898,not synonym
Ceracis cornifer,Ceracis simplicicornis,0.5853,not synonym
Ceracis cornifer,Ennearthron corniferum,0.7066,synonym
Ceracis cornifer,Ennearthron cylindricum,0.5863,not synonym
Ceracis cornifer,Ennearthron simplicicorne,0.3209,not synonym
Ceracis cucullatus,Ennearthron cucullatum,0.6302,not synonym
Ceracis curtus,Ceracis compactus,0.8378,synonym
Ceracis curtus,Ceracis obesus,0.5764,not synonym
Ceracis curtus,Cis obesus,0.5585,not synonym
Ceracis curtus,Ennearthron compactus,0.5781,not synonym
Ceracis curtus,Ennearthron curtus,0.6479,not synonym
Ceracis dixiensis,Octotemnus dixiensis,0.6521,not synonym
Ceracis furcifer,Ennearthron furcifer,0.6224,not synonym
Ceracis militaris,Ennearthron militaris,0.4913,not synonym
Ceracis minutissimus,Cis minutissimus,0.8817,synonym
Ceracis monocerus,Ceracis unicorne,0.6353,not synonym
Ceracis monocerus,Ceracis unicornis,0.6067,not synonym
Ceracis monocerus,Ennearthron unicorne,0.474,not synonym
Ceracis monocerus,Ennearthron unicornis,0.4647,not synonym
Ceracis multipunctatus,Ennearthron multipunctatus,0.6238,not synonym
Ceracis nigricans,Ennearthron nigricans,0.6885,not synonym
Ceracis pullulus,Ennearthron pullulus,0.685,not synonym
Ceracis sallei,Ceracis sellei,0.7453,synonym
Ceracis sallei,Ennearthron sallei,0.6478,not synonym
Ceracis singularis,Xestocis singularis,0.7047,synonym
Ceracis thoracicornis,Ceracis bifoveatus,0.5822,not synonym
Ceracis thoracicornis,Ceracis laminifrons,0.6465,not synonym
Ceracis thoracicornis,Ceracis mellyi,0.5328,not synonym
Ceracis thoracicornis,Ceracis oblongus,0.725,synonym
Ceracis thoracicornis,Ceracis piceus,0.6572,not synonym
Ceracis thoracicornis,Ceracis pumicatus,0.6326,not synonym
Ceracis thoracicornis,Ceracis thoracicinus,0.8884,synonym
Ceracis thoracicornis,Ceracis thoracicus,0.8991,synonym
Ceracis thoracicornis,Ceracis unicolor,0.4839,not synonym
Ceracis thoracicornis,Cis thoracicornis,0.8816,synonym
Ceracis thoracicornis,Ennearthron laminifrons,0.3393,not synonym
Ceracis thoracicornis,Ennearthron mellyi,0.3242,not synonym
Ceracis thoracicornis,Ennearthron oblongus,0.4708,not synonym
Ceracis thoracicornis,Ennearthron piceus,0.4811,not synonym
Ceracis thoracicornis,Ennearthron unicolor,0.3119,not synonym
Rhopalodontus baudueri,Ropalodontus baudueri,0.9703,synonym
Rhopalodontus perforatus,Ropalodontus perforatus,0.9726,synonym
Rhopalodontus strandi,Ropalodontus strandi,0.9758,synonym
Orthocis coluber,Orthocis latifrons,0.6667,not synonym
Orthocis linearis,Cis perrisi,0.4868,not synonym
Orthocis linearis,Orthocis perrisi,0.6831,not synonym
Orthocis punctatus,Cis punctatus,0.611,not synonym
Orthocis punctatus,Orthocis aterrimus,0.647,not synonym
Orthocis testaceofasciatus,Cis testaceofasciatus,0.7635,synonym
Orthocis transversatus,Ennearthron pallidus,0.4147,not synonym
Orthocis transversatus,Ennearthron transversatus,0.7247,synonym
Orthocis transversatus,Orthocis pallidus,0.5912,not synonym
Ennearthron cornutum,Cis cornutus,0.6913,not synonym
Ennearthron cornutum,Ennearthron concinnum,0.8814,synonym
Ennearthron palmi,Cis filum,0.3783,not synonym
Ennearthron palmi,Ennearthron filum,0.6302,not synonym
Ennearthron spenceri,Plesiocis spenceri,0.6804,not synonym
Xylographus corpulentus,Xylographus lemoulti,0.8311,synonym
Xylographus corpulentus,Xylographus richardi,0.694,not synonym
Xylographus subsinuatus,Xylographus rufescens,0.7318,synonym
Ooides denudatus,Ooidellus denudatus,0.956,synonym
Zherikhinia distylia,Nanophyes formosensis,0.4164,not synonym
Zherikhinia distylia,Zherikhinia formosensis,0.7467,synonym
Pseudorobitis axeli,Temnalysis axeli,0.6456,not synonym
Pseudorobitis miwai,Nanophyes miwai,0.6996,not synonym
Nanomimus hemisphaericus,Nanophyes hemisphaericus,0.9241,synonym
Kantohia taiwana,Shiva taiwanus,0.5218,not synonym
Dieckmanniellus chevrieri,Dieckmanniellus helveticus,0.8289,synonym
Dieckmanniellus gracilis,Dieckmaniellus gracilis,0.943,synonym
Dieckmanniellus gracilis,Nanodes gracilis,0.4547,not synonym
Chibizo formosensis,Nanophyes basilineatus,0.3594,not synonym
