species,oldSpeciesCanonicalName,similarity,prediction
Scieropepla serica,Tanyzancla serica,0.965,synonym
Scieropepla serina,Procometis trispora,0.961,synonym
Scieropepla typhicola,Scieropepla typicola,0.9837,synonym
Pilostibes basivitta,Marisba basivitta,0.9692,synonym
Pilostibes basivitta,Pilostibes enchidias,0.9726,synonym
Thysiarcha ecclesiastis,Cryptophasa ecclesiastis,0.9853,synonym
Paralypusa chinensis,Pseudatemelia chinensis,0.9896,synonym
Diurnea fagella,Chimabacche fagella,0.9721,synonym
Diurnea fagella,Chimabacche nolckenella,0.9321,synonym
Diurnea fagella,Diurnea dormoyella,0.9785,synonym
Diurnea fagella,Diurnea nolckenella,0.9722,synonym
Diurnea fagella,Tinea fagella,0.9728,synonym
Diurnea fumida,Dasystoma fumida,0.9815,synonym
Diurnea fumida,Sciaphila fumida,0.9794,synonym
Diurnea lipsiella,Chimabacche phryganella,0.9691,synonym
Diurnea lipsiella,Diurnea lipsiella,1.0,synonym
Diurnea lipsiella,Diurnea novembris,0.9372,synonym
Diurnea lipsiella,Diurnea phryganella,0.9833,synonym
Diurnea lipsiella,Lemmatophila phryganella,0.9776,synonym
Dasystoma kurentzovi,Cheimophila kurentzovi,0.9519,synonym
Dasystoma salicella,Cheimophila salicella,0.9635,synonym
Dasystoma salicella,Hercyna rufocrinitalis,0.9648,synonym
Dasystoma salicella,Lemmatophila salicella,0.9855,synonym
Agnoea aeneella,Borkhausenia aeneella,0.9626,synonym
Agnoea colurnella,Borkhausenia colurnella,0.9683,synonym
Agnoea colurnella,Borkhausenia pulverosella,0.9451,synonym
Agnoea colurnella,Pseudatemelia colurnella,0.9655,synonym
Agnoea detrimentella,Borkhausenia detrimentella,0.9523,synonym
Agnoea detrimentella,Pseudatemelia detrimentella,0.9613,synonym
Agnoea elsae,Borkhausenia elsae,0.958,synonym
Agnoea elsae,Pseudatemelia elsae,0.9652,synonym
Agnoea filiella,Borkhausenia filiella,0.9679,synonym
Agnoea filiella,Pseudatemelia filiella,0.9651,synonym
Agnoea flavifrontella,Borkhausenia flavifrontella,0.9692,synonym
Agnoea flavifrontella,Pseudatemelia flavifrontella,0.9575,synonym
Agnoea flavifrontella,Tubuliferola flavifrontella,0.9565,synonym
Agnoea fuscifrontella,Agnoea evanescens,0.9813,synonym
Agnoea fuscifrontella,Blastobasis evanescens,0.9599,synonym
Agnoea fuscifrontella,Borkhausenia fuscifrontella,0.9692,synonym
Agnoea fuscifrontella,Pseudatemelia fuscifrontella,0.9685,synonym
Agnoea josephinae,Pseudatemelia josephinae,0.9677,synonym
Agnoea langohri,Pseudatemelia langohri,0.9593,synonym
Agnoea latipennella,Pseudatemelia latipennella,0.9728,synonym
Agnoea lavandulae,Borkhausenia ardosiella,0.9474,synonym
Agnoea lavandulae,Borkhausenia lavandulae,0.9733,synonym
Agnoea lavandulae,Borkhausenia pulverisquamis,0.9452,synonym
Agnoea lavandulae,Oecophora ardosiella,0.9698,synonym
Agnoea lavandulae,Pseudatemelia lavandulae,0.9514,synonym
Agnoea pallidella,Borkhausenia pallidella,0.965,synonym
Agnoea pallidella,Pseudatemelia pallidella,0.9693,synonym
Agnoea semifuscata,Pseudatemelia semifuscata,0.9627,synonym
Agnoea subgilvida,Pseudatemelia subgilvida,0.9615,synonym
Agnoea subgilvida,Tubuliferola subgilvida,0.9607,synonym
Agnoea subochreella,Agnoea panzerella,0.9816,synonym
Agnoea subochreella,Pseudatemelia panzerella,0.9552,synonym
Agnoea subochreella,Pseudatemelia subochreella,0.9702,synonym
Agnoea subochreella,Tubuliferola subochreella,0.9681,synonym
Agnoea synchrozella,Pseudatemelia synchrozella,0.9629,synonym
Agnoea xanthosoma,Pseudatemelia xanthosoma,0.9686,synonym
Atosia doenia,Parasa doenia,0.976,synonym
Eukarschia mitis,Gephyrophora mitis,0.9809,synonym
Euphlyctina phaeopasta,Araeogyia phaeopasta,0.9702,synonym
Lithacodes fasciola,Limacodes fasciola,0.9955,synonym
Lithacodes fasciola,Lithacodes belfragei,0.9567,synonym
Lithacodes fasciola,Lithacodes divergens,0.9518,synonym
Lithacodes fasciola,Lithacodes laticlavia,0.9542,synonym
Lithacodes fiskeana,Tortricidia fiskeana,0.9878,synonym
Parapluda incincta,Apluda incincta,0.9817,synonym
Parapluda incincta,Apluda schaliphlebia,0.975,synonym
Parapluda incincta,Parapluda schaliphlebia,0.9679,synonym
Parapluda invitabilis,Apluda similis,0.9655,synonym
Parapluda invitabilis,Heterogenea invitabilis,0.9883,synonym
Parapluda invitabilis,Parapluda similis,0.9827,synonym
Parapluda monogramma,Apluda monogramma,0.984,synonym
Parapluda syngrapha,Apluda syngrapha,0.9888,synonym
Euclea aemilia,Bombyx aemilia,0.9445,synonym
Euclea aemilia,Euclea discolor,0.9872,synonym
Euclea bidiscalis,Miresa doriens,0.9809,synonym
Euclea byrne,Metraga byrne,0.9443,synonym
Euclea cippus,Bombyx cippus,0.9472,synonym
Euclea cippus,Phalaena cippus,0.9793,synonym
Euclea copac,Neomiresa copac,0.9876,synonym
Euclea delphinii,Empretia paenulata,0.968,synonym
Euclea delphinii,Euclea bifida,0.9518,synonym
Euclea delphinii,Euclea elliotii,0.9746,synonym
Euclea delphinii,Euclea ferruginea,0.9689,synonym
Euclea delphinii,Euclea interjecta,0.977,synonym
Euclea delphinii,Euclea mira,0.985,synonym
Euclea delphinii,Euclea monitor,0.9696,synonym
Euclea delphinii,Euclea strigata,0.9786,synonym
Euclea delphinii,Euclea viridiclava,0.969,synonym
Euclea delphinii,Limacodes argentata,0.9615,synonym
Euclea delphinii,Limacodes delphinii,0.9793,synonym
Euclea delphinii,Limacodes querceti,0.9726,synonym
Euclea delphinii,Limacodes quercicola,0.969,synonym
Euclea delphinii,Nochelia tardigrada,0.9521,synonym
Euclea delphinii,Nyssia varia,0.9702,synonym
Euclea delphinii,Parasa excisa,0.9658,synonym
Euclea delphinii,Parasa incisa,0.9244,synonym
Euclea delphinii,Sibine varia,0.9557,synonym
Euclea determinata,Metraga costilinea,0.9378,synonym
Euclea dicolon,Phalaena dicolon,0.9852,synonym
Euclea diversa,Euclea retroversa,0.9845,synonym
Euclea diversa,Semyra diversa,0.9871,synonym
Euclea diversa,Teinorhyncha vericrux,0.9727,synonym
Euclea dolosa,Hydrias dolosa,0.9648,synonym
Euclea norba,Sibine norba,0.971,synonym
Euclea plugma,Euclea chiriquensis,0.9374,synonym
Euclea plugma,Euclea zygia,0.9604,synonym
Euclea plugma,Metraga colle,0.9614,synonym
Euclea plugma,Metraga hoboa,0.9643,synonym
Euclea plugma,Metraga perplexa,0.9552,synonym
Euclea plugma,Phalaena plugma,0.9669,synonym
Euclea rufa,Neomires rufa,0.9612,synonym
Euclea spadicis,Monoleuca spadicis,0.979,synonym
Pectinarosa alastor,Altha alastor,0.9525,synonym
Melinaria campagnei,Parasa campagnei,0.992,synonym
Melinaria repanda,Neaera repanda,0.9951,synonym
Melinaria repanda,Parasa repanda,0.9921,synonym
Caffricola cloeckneria,Bombyx cloeckneria,0.9541,synonym
Heringocena andobo,Pseudomocena andobo,0.9816,synonym
Heringocena difficilis,Pseudomocena difficilis,0.9766,synonym
Vipsania melanois,Pseudovipsania melanois,0.9866,synonym
Vipsania schevi,Lithacodes schevi,0.9838,synonym
Narosoideus flavidorsalis,Heterogena flavidorsalis,0.9834,synonym
Narosoideus flavidorsalis,Narosoideus flavissima,0.9902,synonym
Narosoideus flavidorsalis,Narosoideus micans,0.989,synonym
Narosoideus fuscicostalis,Miresa fuscicostalis,0.9775,synonym
Narosoideus vulpina,Narosoideus apicipennis,0.9896,synonym
Narosoideus vulpina,Narosoideus aurisoma,0.9867,synonym
Narosoideus vulpina,Narosoideus formosanus,0.9806,synonym
Narosoideus vulpina,Narosoideus formosicola,0.9813,synonym
Narosoideus vulpina,Vipsania vulpina,0.9852,synonym
Cyclopterana reducta,Cycloptera reducta,0.9948,synonym
Altha peralbida,Thosea peralbida,0.9785,synonym
Narosopsis leucospila,Narosopsis vynia,0.96,synonym
Ctenolita auribasalis,Miresa auribasalis,0.9818,synonym
Ctenolita auribasalis,Teinorhyncha auribasalis,0.9837,synonym
Ctenolita epargyra,Ctenolita cerdo,0.963,synonym
Ctenolita epargyra,Teinorhyncha cerdo,0.9355,synonym
Ctenolita nobilior,Miresa nobilior,0.9821,synonym
Ctenolita nobilior,Teinorhyncha nobilior,0.9812,synonym
Ctenolita pyrosomoides,Miresa pyrosomoides,0.9816,synonym
Ctenolita pyrosomoides,Teinorhyncha pyrosomoides,0.968,synonym
Comanula uniformis,Comanula bipunctata,0.9626,synonym
Comanula uniformis,Hildala uniformis,0.9836,synonym
Narosa argentipuncta,Narosa narcha,0.9729,synonym
Narosa corusca,Narosa baibarana,0.9804,synonym
Narosa corusca,Narosa ishidae,0.9694,synonym
Narosa corusca,Narosa shinshana,0.9633,synonym
Narosa corusca,Narosa takamukui,0.9601,synonym
Narosa nigrisigna,Heterogenea formosana,0.9388,synonym
Narosa nigrisigna,Narosa ochracea,0.9702,synonym
Narosa nigrisigna,Narosa penicillata,0.9851,synonym
Sansarea alenae,Euphlyctina alenae,0.9762,synonym
Sansarea circulifera,Trichogyia circulifera,0.9833,synonym
Macroplectrina apicalis,Macroplectra apicalis,0.9924,synonym
Macroplectrina semiaurantia,Macroplectra semiaurantia,0.9911,synonym
Brachiopsis vicina,Caffricola vicina,0.9709,synonym
Vipaka niveipennis,Narosa niveipennis,0.9313,synonym
Zinara ploetzi,Heterolepis ploetzi,0.9826,synonym
Magos xanthopus,Bietia xanthopus,0.9854,synonym
Anilina nubilata,Paryphanta nubilata,0.9742,synonym
Anilina personata,Paryphanta personata,0.9802,synonym
Anilina plebeia,Paryphanta plebeia,0.9869,synonym
Anilina tessmanni,Paryphanta tessmanni,0.9799,synonym
Mambara andamanensis,Hypoblechra andamanensis,0.9876,synonym
Mambara delocrossa,Birthama delocrossa,0.955,synonym
Mambara haplopis,Birthama haplopis,0.9739,synonym
Mambara minimalis,Setora minimalis,0.9621,synonym
Chalcocelis albiguttatus,Altha pulchrimacula,0.9437,synonym
Chalcocelis albiguttatus,Doratifera hemistaura,0.9704,synonym
Chalcocelis albiguttatus,Doratifera nephrochrysa,0.9701,synonym
Chalcocelis albiguttatus,Limacodes albiguttatus,0.9902,synonym
Chalcocelis albiguttatus,Miresa fumifera,0.9557,synonym
Chalcocelis albiguttatus,Miresa nigriplaga,0.9642,synonym
Chalcocelis albiguttatus,Miresa sanguineomaculata,0.9608,synonym
Chalcocelis castanica,Chalcoscelis castanica,0.9978,synonym
Chrysopolomides nivea,Chrysopoloma nivea,0.9827,synonym
Soteira altilis,Parasa altilis,0.9709,synonym
Soteira grandis,Parasa grandis,0.9651,synonym
Soteira ostia,Latoia pseudostia,0.978,synonym
Soteira ostia,Parasa ostia,0.9626,synonym
Soteira prasina,Parasa prasina,0.9632,synonym
Soteira shaanxiensis,Latoia shaanxiensis,0.9663,synonym
Soteira shaanxiensis,Parasa shaanxiensis,0.9704,synonym
Soteira vadimi,Parasa vadimi,0.95,synonym
Quasinarosa fulgens,Microcampa fulgens,0.9519,synonym
Quasinarosa fulgens,Narosa kanshireana,0.9193,synonym
Quasinarosa fulgens,Narosa pseudochracea,0.895,synonym
Quasinarosa fulgens,Narosa tamsi,0.9079,synonym
Circeida argentifascia,Latoia argentifascia,0.9704,synonym
Circeida argentifascia,Parasa argentifascia,0.9787,synonym
Circeida eupuncta,Latoia eupuncta,0.9695,synonym
Circeida eupuncta,Parasa eupuncta,0.9823,synonym
Circeida liangdiana,Latoia liangdiana,0.9781,synonym
Circeida liangdiana,Parasa liangdiana,0.9835,synonym
Circeida mutifascia,Latoia mutifascia,0.9757,synonym
Circeida mutifascia,Parasa mutifascia,0.972,synonym
Circeida parapuncta,Latoia parapuncta,0.9665,synonym
Circeida parapuncta,Parasa parapuncta,0.9818,synonym
Avatara interrupta,Thosea interrupta,0.972,synonym
Avatara lineofusca,Iragoides lineofusca,0.9793,synonym
Avatara plethoneura,Thosea plethoneura,0.9863,synonym
Avatara pseudocana,Aphendala pseudocana,0.9692,synonym
Caissa fasciatum,Ceratonema fasciatum,0.9491,synonym
Aergina fumosa,Parasa fumosa,0.9728,synonym
Aergina gentilis,Latoia gentilis,0.9651,synonym
Aergina gentilis,Parasa gentilis,0.9825,synonym
Aergina hilaris,Limacodes hilaris,0.9658,synonym
Aergina hilaris,Parasa hockingii,0.9678,synonym
Aergina laeta,Aergina retracta,0.9479,synonym
Aergina laeta,Parasa laeta,0.9632,synonym
Aergina laeta,Parasa retracta,0.9477,synonym
Aergina liharis,Parasa liharis,0.9714,synonym
Aergina mirza,Parasa mirza,0.9799,synonym
Aergina paeera,Parasa paeera,0.9751,synonym
Aergina solovyevi,Parasa solovyevi,0.9846,synonym
Scopelodes minax,Bethura minax,0.9441,synonym
Scopelodes unicolor,Dalcera palpigera,0.9439,synonym
Scopelodes unicolor,Nyssia micacea,0.9478,synonym
Scopelodes unicolor,Scopelodes lutea,0.9779,synonym
Scopelodes unicolor,Scopelodes palpalis,0.9623,synonym
Scopelodes vulpina,Scopelodes tantula,0.9457,synonym
Nephelimorpha argentilinea,Parasa argentilinea,0.9845,synonym
Nephelimorpha argentilinea,Parasa elegantula,0.9673,synonym
Omocenops micacea,Anzabe micacea,0.9547,synonym
Comana albibasis,Comana albiplaga,0.9803,synonym
Comana albibasis,Miresa albibasis,0.9856,synonym
Comana albibasis,Miresa humeralis,0.9696,synonym
Comana corones,Bombyx corones,0.9313,synonym
Comana corones,Susica miltocosma,0.9679,synonym
Comana cosmocalla,Comana casmocalla,0.9528,synonym
Comana cosmocalla,Susica cosmocalla,0.9811,synonym
Comana cosmocalla,Susica dochmosema,0.9615,synonym
Comana euryparoa,Susica euryparoa,0.9624,synonym
Comana idiomorpha,Susica idiomorpha,0.9874,synonym
Comana miltochyta,Susica miltochyta,0.9711,synonym
Comana miltogramma,Darala rosea,0.9634,synonym
Comana miltogramma,Hildala miniacea,0.9743,synonym
Comana miltogramma,Momopola miltogramma,0.9807,synonym
Comana mjobergi,Comana mjoebergi,0.9718,synonym
Comana mjobergi,Susica mjobergi,0.9551,synonym
Comana monomorpha,Natada monomorpha,0.9519,synonym
Comana resplendens,Susica resplendens,0.9769,synonym
Comana rosea,Anthela rosea,0.9715,synonym
Comana testacea,Mecytha testacea,0.9849,synonym
Leucophobetron argentiflua,Altha rufipuncta,0.9491,synonym
Leucophobetron argentiflua,Euproctis argentiflua,0.9705,synonym
Leucophobetron argyrorrhaea,Euproctis argyrorrhaea,0.9731,synonym
Leucophobetron punctata,Euclea punctata,0.9727,synonym
Achrocerides theorini,Lasiocampa theorini,0.9844,synonym
Aphendala cana,Parasa cana,0.9635,synonym
Aphendala cana,Thosea barikoti,0.9283,synonym
Aphendala cana,Thosea cana,0.9469,synonym
Aphendala conicosma,Thosea conicosma,0.9757,synonym
Aphendala ferreogrisea,Tetraphleba ferreogrisea,0.9865,synonym
Aphendala ferreogrisea,Thosea ferreogrisea,0.9759,synonym
Aphendala imitabilis,Thosea imitabilis,0.9705,synonym
Aphendala recta,Thosea recta,0.9548,synonym
Aphendala unicolor,Aphendala mechiensis,0.9839,synonym
Aphendala unicolor,Aphendala transversata,0.9839,synonym
Aphendala unicolor,Aphendala tripartita,0.9822,synonym
Aphendala unicolor,Macroplectra unicolor,0.9781,synonym
Aphendala unicolor,Parasa unicolor,0.9875,synonym
Aphendala unicolor,Thosea discipunctata,0.958,synonym
Aphendala unicolor,Thosea phaeobasis,0.954,synonym
Aphendala unicolor,Thosea transversata,0.9394,synonym
Aphendala unicolor,Thosea tripartita,0.9517,synonym
Hindothosea cervina,Thosea cervina,0.9902,synonym
Hindothosea cervina,Thosea duplexa,0.9353,synonym
Neomocena convergens,Omocena convergens,0.9788,synonym
Birthamula chara,Contheyla chara,0.9827,synonym
Birthamula rufa,Thosea grandis,0.9687,synonym
Hadraphe aprica,Hadraphe callima,0.9765,synonym
Hadraphe aprica,Scirrhoma callima,0.9758,synonym
Hadraphe ethiopica,Scirrhoma ethiopica,0.9745,synonym
Pretas furcillata,Aphendala furcillata,0.9472,synonym
Pretas separata,Thosea separata,0.9802,synonym
Thronia badia,Parasa badia,0.9781,synonym
Thronia dilucida,Parasa dilucida,0.9781,synonym
Thronia xizangensis,Parasa xizangensis,0.9627,synonym
Thronia xueshana,Latoia xueshana,0.9799,synonym
Thronia xueshana,Parasa xueshana,0.9824,synonym
Eloasa acrata,Parasa acrata,0.9857,synonym
Eloasa atmodes,Parasa atmodes,0.978,synonym
Eloasa atmodes,Parasa loxoleuca,0.9773,synonym
Eloasa bombycoides,Doratiophora amphibrota,0.9722,synonym
Eloasa bombycoides,Lethocephala bombycoides,0.9745,synonym
Eloasa bombycoides,Parasa rutila,0.9754,synonym
Eloasa bombycoides,Thosea erecta,0.9666,synonym
Eloasa brevipennis,Parasa brevipennis,0.9912,synonym
Eloasa calida,Doratifera congrua,0.9768,synonym
Eloasa calida,Lethocephala eremospila,0.9697,synonym
Eloasa callidesma,Thosea callidesma,0.9828,synonym
Eloasa infrequens,Apoda infrequens,0.986,synonym
Eloasa infrequens,Parasa entima,0.9657,synonym
Eloasa liosarca,Anaxidea integer,0.9528,synonym
Eloasa liosarca,Eloasa liasarca,0.9912,synonym
Eloasa liosarca,Thosea liosarca,0.9746,synonym
Eloasa luxa,Thosea luxa,0.9668,synonym
Eloasa perixera,Doratifera perixera,0.9862,synonym
Eloasa sphenosema,Doratifera sphenosema,0.9873,synonym
Eloasa symphonistis,Parasa symphonistis,0.9831,synonym
Susica pannosa,Hyphorma pannosa,0.9723,synonym
Susica sinensis,Susica formosana,0.9812,synonym
Susica sinensis,Susica fusca,0.986,synonym
Susica sinensis,Susica fusca,0.986,synonym
Susica sinensis,Tadema sinensis,0.9699,synonym
Eucalliathla candidella,Oecophora candidella,0.9851,synonym
Argyresthia pruniella,Argyresthia ephippella,0.9838,synonym
Argyresthia pruniella,Oecophora pruniella,0.9744,synonym
Argyresthia notoleuca,Zelleria notoleuca,0.9601,synonym
Argyresthia curvella,Argyresthia arcella,0.98,synonym
Argyresthia curvella,Argyresthia denudatella,0.9949,synonym
Argyresthia curvella,Argyresthia nitidella,0.9867,synonym
Argyresthia curvella,Argyresthia ossea,0.9768,synonym
Argyresthia curvella,Argyresthia purpurascentella,0.9494,synonym
Argyresthia curvella,Tinea arcella,0.9291,synonym
Argyresthia abdominalis,Argyresthia decimella,0.984,synonym
Argyresthia abdominalis,Argyresthia inauratella,0.9855,synonym
Argyresthia triplicata,Argyresthia trifasciae,0.9847,synonym
Argyresthia pygmaeella,Argyresthia rudolphella,0.9863,synonym
Argyresthia pygmaeella,Argyresthia semifasciella,0.9906,synonym
Argyresthia ivella,Argyresthia andereggiella,0.9589,synonym
Argyresthia ivella,Argyresthia kuwayamella,0.9439,synonym
Argyresthia ivella,Argyresthia quadriella,0.9452,synonym
Argyresthia ivella,Oecophora andereggiella,0.9376,synonym
Argyresthia chrysidella,Argyresthia walsinghamella,0.9813,synonym
Argyresthia atlanticella,Argyresthia minusculella,0.9805,synonym
Trachydora acrocyrta,Syntomactis acrocyrta,0.9529,synonym
Trachydora acromianta,Syntomactis acromianta,0.9684,synonym
Trachydora bacteriota,Balionebris bacteriota,0.9691,synonym
Trachydora capnopa,Pogonias capnopa,0.9675,synonym
Trachydora centromela,Trachydora holochorda,0.9725,synonym
Trachydora fumea,Syntomactis fumea,0.9678,synonym
Trachydora heliodora,Pogonias heliodora,0.9757,synonym
Trachydora heliotricha,Pogonias heliotricha,0.9842,synonym
Trachydora juengeri,Sindicola juengeri,0.9769,synonym
Trachydora macrostola,Syntomactis macrostola,0.9615,synonym
Trachydora plumigera,Anataractis plumigera,0.9866,synonym
Trachydora porphyrescens,Pogonias porphyrescens,0.9805,synonym
Trachydora pygaea,Syntomactis pygaea,0.9708,synonym
Trachydora squamella,Sindicola squamella,0.9765,synonym
Trachydora tephronota,Syntomactis tephronota,0.9819,synonym
Zaratha pterodactylella,Zaratha niveiventris,0.976,synonym
Palaeomystella chalcopeda,Palaeomystis chalcopeda,0.9948,synonym
Nanodacna logistica,Colonophora logistica,0.9257,synonym
Nanodacna vinacea,Homaledra vinacea,0.976,synonym
Microcolona durata,Aganoptila durata,0.9781,synonym
Microcolona phanarcha,Aganoptila phanarcha,0.9798,synonym
Microcolona toropis,Elachista toropis,0.9522,synonym
