species,oldSpeciesCanonicalName,similarity,prediction,label,model,threshold
Colubrina macrocarpa,Ceanothus macrocarpus,0.5238,not synonym,synonym,Levenshtein,0.7
Trema angustifolium,Crataegus heldebergensis,0.1667,not synonym,not synonym,Levenshtein,0.7
Boehmeria aspera,Ramium asperum,0.375,not synonym,synonym,Levenshtein,0.7
Debregeasia longifolia,Spiraea caroliniana,0.3182,not synonym,not synonym,Levenshtein,0.7
Poikilospermum amboinense,Acaena leptophylla,0.08,not synonym,not synonym,Levenshtein,0.7
Parietaria pensylvanica,Freirea pensylvanica,0.7391,synonym,synonym,Levenshtein,0.7
Acaena sericea,Crataegus arbutifolia,0.2857,not synonym,not synonym,Levenshtein,0.7
Rubus vigoi,Rubus weberanus,0.4,not synonym,synonym,Levenshtein,0.7
Dendrocnide stimulans,Colletia doniana,0.1905,not synonym,not synonym,Levenshtein,0.7
Phylica oleifolia,Soulangia orientalis,0.35,not synonym,synonym,Levenshtein,0.7
Elatostematoides hirtum,Elatostema hirtum,0.7391,synonym,synonym,Levenshtein,0.7
Chaenomeles japonica,Berchemia omeiensis,0.15,not synonym,not synonym,Levenshtein,0.7
Spyridium obcordatum,Cryptandra obcordata,0.45,not synonym,synonym,Levenshtein,0.7
Elatostematoides vittatum,Rosa novae-angliae,0.2,not synonym,not synonym,Levenshtein,0.7
Holodiscus fissus,Conocephalus suaveolens,0.2609,not synonym,not synonym,Levenshtein,0.7
Discocnide mexicana,Brosimum caloxylon,0.1053,not synonym,not synonym,Levenshtein,0.7
Torminalis glaberrima,Ficus suringarii,0.1905,not synonym,not synonym,Levenshtein,0.7
Boehmeria caudata,Boehmeria petiolaris,0.55,not synonym,synonym,Levenshtein,0.7
Pouzolzia zeylanica,Elaeagnus cuprea,0.1053,not synonym,not synonym,Levenshtein,0.7
Trema micranthum,Prunus vana,0.1875,not synonym,not synonym,Levenshtein,0.7
Ulmus hollandica,Ulmus rhombifolia,0.5294,not synonym,synonym,Levenshtein,0.7
Rhaphiolepis philippinensis,Eriobotrya philippinensis,0.5926,not synonym,synonym,Levenshtein,0.7
Taxotrophis macrophylla,Spiraea lucida,0.1739,not synonym,not synonym,Levenshtein,0.7
Elaeagnus conferta,Urtica fruticosa,0.1667,not synonym,not synonym,Levenshtein,0.7
Pouzolzia zeylanica,Boehmeria nana,0.3684,not synonym,synonym,Levenshtein,0.7
Cecropia peltata,Ulmus latifolia,0.125,not synonym,not synonym,Levenshtein,0.7
Karpatiosorbus meierottii,Sorbus meierottii,0.68,not synonym,synonym,Levenshtein,0.7
Phylica polifolia,Phylica thymifolia,0.7778,synonym,synonym,Levenshtein,0.7
Dorstenia contrajerva,Dorstenia maculata,0.5714,not synonym,synonym,Levenshtein,0.7
Sorbaronia sorbifolia,Rhamnus billardii,0.2381,not synonym,not synonym,Levenshtein,0.7
Aruncus dioicus,Trichocephalus callosus,0.3043,not synonym,not synonym,Levenshtein,0.7
Procris curtisii,Pellionia curtisii,0.6111,not synonym,synonym,Levenshtein,0.7
Scutia myrtina,Rhamnus capensis,0.0625,not synonym,synonym,Levenshtein,0.7
Rhaphiolepis crassifolia,Laportea diffusa,0.2917,not synonym,not synonym,Levenshtein,0.7
Dorstenia bahiensis,Dorstenia bahiensis,1.0,synonym,synonym,Levenshtein,0.7
Urera simplex,Cecropia strigilosa,0.3158,not synonym,not synonym,Levenshtein,0.7
Smythea lanceata,Morus tinctoria,0.25,not synonym,not synonym,Levenshtein,0.7
Spyridium ulicinum,Stenodiscus ulicinus,0.6,not synonym,synonym,Levenshtein,0.7
Karpatiosorbus ratisbonensis,Crataegus tomentosa,0.3571,not synonym,not synonym,Levenshtein,0.7
Pouzolzia zeylanica,Pyrus vertesica,0.3158,not synonym,not synonym,Levenshtein,0.7
Pyracantha atalantioides,Broussonetia cordata,0.1667,not synonym,not synonym,Levenshtein,0.7
Atadinus fallax,Tylanthus willdenowianus,0.2917,not synonym,not synonym,Levenshtein,0.7
Prainea scandens,Saccus peduncularis,0.1579,not synonym,not synonym,Levenshtein,0.7
Colubrina arborescens,Colubrina colubrinus,0.5714,not synonym,synonym,Levenshtein,0.7
Aronia melanocarpa,Aria pseudovestita,0.2778,not synonym,not synonym,Levenshtein,0.7
Fragaria daltoniana,Fragaria sikkimensis,0.45,not synonym,synonym,Levenshtein,0.7
Endotropis standleyana,Rhamnus standleyana,0.5909,not synonym,synonym,Levenshtein,0.7
Photinia integrifolia,Ambaiba nivea,0.2857,not synonym,not synonym,Levenshtein,0.7
Spiraea decumbens,Zizyphus floribunda,0.1579,not synonym,not synonym,Levenshtein,0.7
Pourthiaea zhejiangensis,Photinia zhejiangensis,0.75,synonym,synonym,Levenshtein,0.7
Elaeagnus umbellata,Elatostema scriptum,0.1579,not synonym,not synonym,Levenshtein,0.7
Holodiscus argenteus,Padus emarginata,0.3,not synonym,not synonym,Levenshtein,0.7
Serichonus gracilipes,Poikilospermum tangaum,0.0455,not synonym,not synonym,Levenshtein,0.7
Pseudoziziphus parryi,Condaliopsis parryi,0.5238,not synonym,synonym,Levenshtein,0.7
Pouzolzia conglobata,Boehmeria conglobata,0.7,synonym,synonym,Levenshtein,0.7
Ulmus parvifolia,Ulmus coreana,0.5,not synonym,synonym,Levenshtein,0.7
Boehmeria splitgerbera,Urtica bifida,0.1818,not synonym,synonym,Levenshtein,0.7
Ficus mollior,Rhamnus revoluta,0.25,not synonym,not synonym,Levenshtein,0.7
Hedlundia anglica,Pyrus anglica,0.5294,not synonym,synonym,Levenshtein,0.7
Rhamnella martini,Rhamnus acuminata,0.3529,not synonym,not synonym,Levenshtein,0.7
Myriocarpa longipes,Myriocarpa yzabalensis,0.5909,not synonym,synonym,Levenshtein,0.7
Olmedia aspera,Boehmeria velutina,0.3889,not synonym,not synonym,Levenshtein,0.7
Morus alba,Cerasus emarginata,0.3333,not synonym,not synonym,Levenshtein,0.7
Holodiscus discolor,Schizonotus discolor,0.6,not synonym,synonym,Levenshtein,0.7
Hippophae salicifolia,Drimopogon rosea,0.1905,not synonym,not synonym,Levenshtein,0.7
Pyracantha crenulata,Pyracantha crenulata,1.0,synonym,synonym,Levenshtein,0.7
Heteromeles arbutifolia,Ranunculus hybrida,0.2609,not synonym,not synonym,Levenshtein,0.7
Pouzolzia zeylanica,Boehmeria hirta,0.2632,not synonym,synonym,Levenshtein,0.7
Prunus cerasus,Cerasus sargentii,0.2941,not synonym,not synonym,Levenshtein,0.7
Elatostema rostratum,Sorbus tauricola,0.2,not synonym,not synonym,Levenshtein,0.7
Ventilago denticulata,Ventilago sulphurea,0.5714,not synonym,synonym,Levenshtein,0.7
Celtis laevigata,Artocarpus varians,0.2222,not synonym,not synonym,Levenshtein,0.7
Ziziphus xylopyrus,Urera schimperi,0.1667,not synonym,not synonym,Levenshtein,0.7
Elatostematoides pictum,Pellionia picta,0.3478,not synonym,synonym,Levenshtein,0.7
Holodiscus discolor,Dorstenia gracilis,0.2105,not synonym,not synonym,Levenshtein,0.7
Aria obtusifolia,Broussonetia tinctoria,0.3182,not synonym,not synonym,Levenshtein,0.7
Argentina polyphylla,Celtis rhamnoides,0.2,not synonym,not synonym,Levenshtein,0.7
Ficus racemosa,Urostigma leucocarpum,0.1905,not synonym,synonym,Levenshtein,0.7
Celtis trinervia,Crataegus crocata,0.2353,not synonym,not synonym,Levenshtein,0.7
Spyridium vexilliferum,Pyrus maximowicziana,0.2727,not synonym,not synonym,Levenshtein,0.7
Ochetophila trinervis,Elaeagnus cyanea,0.1905,not synonym,not synonym,Levenshtein,0.7
Karwinskia potrerilloana,Urticastrum vrieseanum,0.2083,not synonym,not synonym,Levenshtein,0.7
Ulmus hollandica,Ulmus serratifrons,0.3889,not synonym,synonym,Levenshtein,0.7
Trema micranthum,Spiraea zuccarinii,0.2778,not synonym,not synonym,Levenshtein,0.7
Colletia spinosissima,Rhamnus microcarpus,0.0952,not synonym,not synonym,Levenshtein,0.7
Ceanothus cuneatus,Boehmeria thailandica,0.0952,not synonym,not synonym,Levenshtein,0.7
Gillenia stipulata,Ficus bulbosa,0.2222,not synonym,not synonym,Levenshtein,0.7
Morus alba,Potentilla santalinoides,0.1667,not synonym,not synonym,Levenshtein,0.7
Rhaphiolepis hookeriana,Ficus mangiferoides,0.1304,not synonym,not synonym,Levenshtein,0.7
Celtis australis,Celtis aspera,0.625,not synonym,synonym,Levenshtein,0.7
Rhamnus parvifolia,Rhamnus owiakensis,0.5,not synonym,synonym,Levenshtein,0.7
Spiraea splendens,Spyridium scabridum,0.2632,not synonym,not synonym,Levenshtein,0.7
Pouzolzia laevis,Boehmeria laevis,0.625,not synonym,synonym,Levenshtein,0.7
Pilea parietaria,Crataegus eamesii,0.1765,not synonym,not synonym,Levenshtein,0.7
Trema cannabina,Celtis virgata,0.1333,not synonym,synonym,Levenshtein,0.7
Hedlundia pulchra,Smythea pacifica,0.1765,not synonym,not synonym,Levenshtein,0.7
Rhamnidium elaeocarpum,Pseudomorus brunoniana,0.0909,not synonym,not synonym,Levenshtein,0.7
Aria rupicola,Sorbus salicifolia,0.3889,not synonym,synonym,Levenshtein,0.7
Urera baccifera,Urera baccifera,1.0,synonym,synonym,Levenshtein,0.7
Ziziphus mauritiana,Ziziphus orthacantha,0.55,not synonym,synonym,Levenshtein,0.7
Ficus fulva,Pyrus tsaii,0.2727,not synonym,not synonym,Levenshtein,0.7
Pouzolzia poeppigiana,Pouzolzia aspera,0.5714,not synonym,synonym,Levenshtein,0.7
Procris repens,Stephanandra quadrifissa,0.1667,not synonym,not synonym,Levenshtein,0.7
Discaria americana,Notophaena andina,0.2778,not synonym,synonym,Levenshtein,0.7
Sageretia thea,Rhamnus thea,0.3571,not synonym,synonym,Levenshtein,0.7
Lecanthus petelotii,Pilea cuneifolia,0.2632,not synonym,not synonym,Levenshtein,0.7
Artocarpus altilis,Rhamnidium ferreum,0.1111,not synonym,not synonym,Levenshtein,0.7
Aphananthe cuspidata,Urtica ferox,0.1,not synonym,not synonym,Levenshtein,0.7
Gonostegia triandra,Celtis caucasica,0.2105,not synonym,not synonym,Levenshtein,0.7
Potentilla ornithopoda,Ivesia chandleri,0.1818,not synonym,not synonym,Levenshtein,0.7
Rhaphiolepis indica,Opa japonica,0.3158,not synonym,synonym,Levenshtein,0.7
Trema orientale,Trema africanum,0.4667,not synonym,synonym,Levenshtein,0.7
Acaena pinnatifida,Acaena pectinata,0.6111,not synonym,synonym,Levenshtein,0.7
Rhamnus hybrida,Elatostema curtisiae,0.2,not synonym,not synonym,Levenshtein,0.7
Elaeagnus fruticosa,Octarillum fruticosum,0.5238,not synonym,synonym,Levenshtein,0.7
Crataegus pallasii,Potentilla leucophylla,0.1818,not synonym,not synonym,Levenshtein,0.7
Celtis laevigata,Mespilus sorbifolia,0.3158,not synonym,not synonym,Levenshtein,0.7
Dendrocnide excelsa,Urera excelsa,0.4737,not synonym,synonym,Levenshtein,0.7
Prunus emarginata,Boehmeria lateriflora,0.1429,not synonym,not synonym,Levenshtein,0.7
Cecropia sciadophylla,Ceanothus multiflorus,0.1429,not synonym,not synonym,Levenshtein,0.7
Naucleopsis pseudonaga,Artocarpus integrifolius,0.1667,not synonym,not synonym,Levenshtein,0.7
Prunus pseudocerasus,Physocarpus intermedius,0.2609,not synonym,not synonym,Levenshtein,0.7
Spiraea trilobata,Spiraea crataegifolia,0.5238,not synonym,synonym,Levenshtein,0.7
Elatostema parvum,Elatostema stracheyanum,0.6087,not synonym,synonym,Levenshtein,0.7
Sibiraea laevigata,Spiraea integrifolia,0.45,not synonym,synonym,Levenshtein,0.7
Margyricarpus alatus,Cryptandra obcordata,0.1,not synonym,not synonym,Levenshtein,0.7
Cryptandra leucophracta,Stenanthemum leucophractum,0.5,not synonym,synonym,Levenshtein,0.7
Crataegus opaca,Anthomeles opaca,0.5,not synonym,synonym,Levenshtein,0.7
Obetia radula,Obetia laciniata,0.5625,not synonym,synonym,Levenshtein,0.7
Pouzolzia sanguinea,Pouzolzia waitziana,0.6842,not synonym,synonym,Levenshtein,0.7
Rhamnus napalensis,Celastrus tristis,0.2222,not synonym,synonym,Levenshtein,0.7
Ziziphus mauritiana,Cerasus griffithii,0.2105,not synonym,not synonym,Levenshtein,0.7
Retanilla stricta,Fleurya glomerata,0.1765,not synonym,not synonym,Levenshtein,0.7
Taxotrophis taxoides,Taxotrophis taxoides,1.0,synonym,synonym,Levenshtein,0.7
Zelkova serrata,Acaena pinnatifida,0.2222,not synonym,not synonym,Levenshtein,0.7
Prunus tomentosa,Laportea gigas,0.0625,not synonym,not synonym,Levenshtein,0.7
Parartocarpus venenosa,Artocarpus forbesii,0.5,not synonym,synonym,Levenshtein,0.7
Argentina stenophylla,Elaeagnus spinosa,0.2857,not synonym,not synonym,Levenshtein,0.7
Phylica nitida,Phylica mauritiana,0.6667,not synonym,synonym,Levenshtein,0.7
Ficus punctata,Lasiodiscus mildbraedii,0.2609,not synonym,not synonym,Levenshtein,0.7
Spyridium subochreatum,Trymalium subochreatum,0.7727,synonym,synonym,Levenshtein,0.7
Shepherdia rotundifolia,Lepargyrea rotundifolia,0.6522,not synonym,synonym,Levenshtein,0.7
Celtis toka,Pyrus prionophylla,0.1667,not synonym,not synonym,Levenshtein,0.7
Spyridium spadiceum,Gouania eriocarpa,0.1053,not synonym,not synonym,Levenshtein,0.7
Brosimum longifolium,Urtica cymosa,0.2,not synonym,not synonym,Levenshtein,0.7
Paliurus ramosissimus,Cerasus decumana,0.1429,not synonym,not synonym,Levenshtein,0.7
Frangula sphaerosperma,Celtis canescens,0.2273,not synonym,not synonym,Levenshtein,0.7
Morus indica,Amygdalus spartioides,0.2381,not synonym,not synonym,Levenshtein,0.7
Pilea inaequalis,Urtica inaequalis,0.7059,synonym,synonym,Levenshtein,0.7
Ziziphus spina-christi,Ziziphus sphaerocarpa,0.5455,not synonym,synonym,Levenshtein,0.7
Prunus emarginata,Padus prunifolia,0.2941,not synonym,synonym,Levenshtein,0.7
Hovenia trichocarpa,Hovenia merrilliana,0.5263,not synonym,synonym,Levenshtein,0.7
Crataegus pruinosa,Crataegus kellermanii,0.5238,not synonym,synonym,Levenshtein,0.7
Aria cucullifera,Pyrus cucullifera,0.7647,synonym,synonym,Levenshtein,0.7
Crataegus punctata,Celtis asperula,0.2778,not synonym,not synonym,Levenshtein,0.7
Maillardia montana,Rhamnus vitiensis,0.1111,not synonym,not synonym,Levenshtein,0.7
Dendrocnide photiniphylla,Urticastrum photoniphylla,0.52,not synonym,synonym,Levenshtein,0.7
Spiraea japonica,Spiraea zuccarinii,0.5556,not synonym,synonym,Levenshtein,0.7
Ceanothus tardivus,Ceanothus tardivus,1.0,synonym,synonym,Levenshtein,0.7
Ziziphus xylopyrus,Horkelia congdonis,0.1111,not synonym,not synonym,Levenshtein,0.7
Helinus lanceolatus,Stephanandra flexuosa,0.1905,not synonym,not synonym,Levenshtein,0.7
Pouzolzia nudiflora,Coussapoa oligoneura,0.3,not synonym,not synonym,Levenshtein,0.7
Trema micranthum,Sponia chichilea,0.125,not synonym,synonym,Levenshtein,0.7
Berchemiella wilsonii,Chaydaia wilsonii,0.5714,not synonym,synonym,Levenshtein,0.7
Crataegus sanguinea,Morus hastifolia,0.2105,not synonym,not synonym,Levenshtein,0.7
Humulus scandens,Sorbus bohemica,0.1875,not synonym,not synonym,Levenshtein,0.7
Pourouma mollis,Rhamnus citrifolia,0.1667,not synonym,not synonym,Levenshtein,0.7
Ulmus rubra,Ulmus rubra,1.0,synonym,synonym,Levenshtein,0.7
Broussonetia monoica,Broussonetia jiangxiensis,0.6,not synonym,synonym,Levenshtein,0.7
Pilea grandifolia,Adicea grandifolia,0.8333,synonym,synonym,Levenshtein,0.7
Rhaphiolepis seguinii,Sorbus rotundifolia,0.0952,not synonym,not synonym,Levenshtein,0.7
Dalibarda repens,Dalibarda cordata,0.5882,not synonym,synonym,Levenshtein,0.7
Sorocea guilleminiana,Sorocea klotzschiana,0.5714,not synonym,synonym,Levenshtein,0.7
Maclura tinctoria,Spiraea chamaedryfolia,0.2273,not synonym,not synonym,Levenshtein,0.7
Cryptandra dielsii,Pouzolzia piscicelliana,0.2174,not synonym,not synonym,Levenshtein,0.7
Cecropia pachystachya,Cecropia lyratiloba,0.5238,not synonym,synonym,Levenshtein,0.7
Atadinus alpinus,Mystacinus cirrhiferus,0.4545,not synonym,not synonym,Levenshtein,0.7
Ficus benjamina,Ficus papyrifera,0.4375,not synonym,synonym,Levenshtein,0.7
Karpatiosorbus omissa,Pyrus velebilii,0.1429,not synonym,synonym,Levenshtein,0.7
Acaena caespitosa,Acaena chubutensis,0.5,not synonym,synonym,Levenshtein,0.7
Holodiscus pachydiscus,Sericotheca pachydisca,0.4545,not synonym,synonym,Levenshtein,0.7
Rhaphiolepis indica,Rhaphiolepis crataegoides,0.56,not synonym,synonym,Levenshtein,0.7
Dorstenia hirta,Dorstenia varroniifolia,0.5217,not synonym,synonym,Levenshtein,0.7
Celtis tenuifolia,Pyrus williamtelliana,0.2381,not synonym,not synonym,Levenshtein,0.7
Elatostema volubile,Potentilla dichotoma,0.15,not synonym,not synonym,Levenshtein,0.7
Ficus auriculata,Ulmus angustiformis,0.3158,not synonym,not synonym,Levenshtein,0.7
Fragaria iinumae,Urera humblotii,0.125,not synonym,not synonym,Levenshtein,0.7
Ulmus pumila,Ulmus transbaicalensis,0.3636,not synonym,synonym,Levenshtein,0.7
Majovskya sudetica,Pyrus sudetica,0.5556,not synonym,synonym,Levenshtein,0.7
Rubus niveus,Berchemia corollata,0.1053,not synonym,not synonym,Levenshtein,0.7
Coussapoa duquei,Coussapoa apoda,0.625,not synonym,synonym,Levenshtein,0.7
Trema tomentosum,Trema imbricatum,0.5,not synonym,synonym,Levenshtein,0.7
Sageretia filiformis,Ziziphus oppositifolia,0.1818,not synonym,synonym,Levenshtein,0.7
Elatostema heterolobum,Elaeagnus canadensis,0.1818,not synonym,not synonym,Levenshtein,0.7
Prunus cerasus,Neillia torreyi,0.1333,not synonym,not synonym,Levenshtein,0.7
Celtis sinensis,Cerasus silvestris,0.5,not synonym,not synonym,Levenshtein,0.7
Morus indica,Morus expansa,0.5385,not synonym,synonym,Levenshtein,0.7
Maclura africana,Cardiogyne africana,0.5263,not synonym,synonym,Levenshtein,0.7
Potentilla nitida,Solenandra coronata,0.3158,not synonym,not synonym,Levenshtein,0.7
Rhamnella rubrinervis,Zizyphus undulata,0.0952,not synonym,not synonym,Levenshtein,0.7
Berchemia floribunda,Berchemia kunitakei,0.55,not synonym,synonym,Levenshtein,0.7
Boehmeria japonica,Pyrus takhtajanii,0.1667,not synonym,not synonym,Levenshtein,0.7
Crataegus punctata,Pilea cordifolia,0.1111,not synonym,not synonym,Levenshtein,0.7
Batocarpus amazonicus,Celtis boliviensis,0.1429,not synonym,not synonym,Levenshtein,0.7
Ceanothus pauciflorus,Ceanothus frankliniae,0.4762,not synonym,synonym,Levenshtein,0.7
Artocarpus integer,Radermachia integra,0.4211,not synonym,synonym,Levenshtein,0.7
Sarcomphalus bidens,Ziziphus bidens,0.5789,not synonym,synonym,Levenshtein,0.7
Pilea parietaria,Urera gravenreuthii,0.2632,not synonym,not synonym,Levenshtein,0.7
Aria porrigentiformis,Rhamnidium jamaicense,0.0952,not synonym,not synonym,Levenshtein,0.7
