species,oldSpeciesCanonicalName,similarity,prediction
Cyanocrates grandis,Cyanocrates signata,0.9221,synonym
Cyanocrates grandis,Ommatothelxis grandis,0.8123,synonym
Lichenaula afflictella,Cryptolechia afflictella,0.9385,synonym
Lichenaula lichenea,Lichenaula lichenaea,0.971,synonym
Lichenaula cryptoleuca,Phthonerodes cryptoleuca,0.9348,synonym
Lichenaula laniata,Lichenaula sternoides,0.9104,synonym
Lichenaula comparella,Lichenaula callisema,0.9754,synonym
Lichenaula comparella,Oecophora comparella,0.9283,synonym
Lichenaula anthracopsara,Phthonerodes anthracopsara,0.9234,synonym
Lichenaula phloeochroa,Lichenaula provisa,0.901,synonym
Lichenaula maculosa,Polynesa maculosa,0.8852,synonym
Heterochyta aprepta,Heterochyta abrepta,0.9919,synonym
Heterochyta aprepta,Macrobela aprepta,0.9481,synonym
Heterochyta infesta,Heterobathra infesta,0.9737,synonym
Catoryctis leucomerata,Phthonerodes leucomerata,0.955,synonym
Catoryctis sciastis,Xylorycta sciastis,0.9354,synonym
Catoryctis subnexella,Oecophora subnexella,0.9255,synonym
Catoryctis subparallela,Oecophora fissulella,0.9283,synonym
Catoryctis subparallela,Oecophora nexella,0.8981,synonym
Catoryctis subparallela,Oecophora subparallela,0.9405,synonym
Brachybelistis blackburnii,Cryptophaga blackburnii,0.9075,synonym
Brachybelistis pentachroa,Xylorycta pentachroa,0.891,synonym
Telecrates desmochrysa,Telecrates nigricansella,0.5826,not synonym
Telecrates laetiorella,Oecophora laetiorella,0.8865,synonym
Telecrates melanochrysa,Xylorycta melanochrysa,0.938,synonym
Gomphoscopa catoryctopsis,Pachycera catoryctopsis,0.9656,synonym
Thymiatris allocrossa,Lichenaula allocrossa,0.9089,synonym
Thymiatris cephalochra,Xylorycta cephalochra,0.7442,synonym
Leptobelistis isthmodes,Oegoconia isthmodes,0.8456,synonym
Plectophila acrochroa,Xylorycta acrochroa,0.8962,synonym
Plectophila discalis,Acontia discalis,0.8617,synonym
Plectophila discalis,Lichenaula inscripta,0.8595,synonym
Plectophila discalis,Lichenaula ombralota,0.8464,synonym
Plectophila discalis,Lichenaula oxygona,0.8851,synonym
Plectophila electella,Oecophora electella,0.8767,synonym
Plectophila eucrines,Lichenaula eucrines,0.9112,synonym
Plectophila micradelpha,Lichenaula micradelpha,0.8957,synonym
Plectophila pyrgodes,Plectophila ascripta,0.9409,synonym
Plectophila thiophanes,Xylorycta thiophanes,0.946,synonym
Potniarcha hierastis,Cryptophaga hierastis,0.853,synonym
Zaphanaula hemileuca,Antiopala moderata,0.782,synonym
Zaphanaula hemileuca,Oecophora hemileuca,0.9561,synonym
Zaphanaula hemileuca,Peltophora leucoplaca,0.902,synonym
Zaphanaula hemileuca,Zaphanaula diffusa,0.9334,synonym
Zaphanaula hemileuca,Zaphanaula xenophila,0.9355,synonym
Cophomantella aphanozona,Cophomantis aphanozona,0.9794,synonym
Cophomantella artonoma,Cophomantis artonoma,0.9696,synonym
Cophomantella bifrenata,Onebala bifrenata,0.9487,synonym
Cophomantella bythota,Onebala bythota,0.7982,synonym
Cophomantella crypsizyga,Onebala crypsizyga,0.8368,synonym
Cophomantella cubiculata,Onebala cubiculata,0.9593,synonym
Cophomantella cyclopodes,Onebala cyclopodes,0.9418,synonym
Cophomantella elaphopis,Onebala elaphopis,0.9508,synonym
Cophomantella ephanozona,Cophomantis ephanozona,0.9811,synonym
Cophomantella eremota,Onebala eremota,0.9454,synonym
Cophomantella furnaria,Lecithocera furnaria,0.9522,synonym
Cophomantella homogramma,Onebala homogramma,0.9167,synonym
Cophomantella lychnocentra,Styloceros lychnocentra,0.9254,synonym
Cophomantella myadelpha,Onebala myadelpha,0.9471,synonym
Cophomantella osphrantica,Cophomantis osphrantica,0.949,synonym
Cophomantella pumicata,Cophomantis pumicata,0.9736,synonym
Cophomantella syngonarcha,Cophomantis syngonarcha,0.9755,synonym
Hylypnes isosticha,Odites isosticha,0.9408,synonym
Hylypnes leptosticta,Cryptolechia leptosticta,0.9383,synonym
Hylypnes pudica,Odites pudica,0.9108,synonym
Eupetochira xystopala,Nephantis xystopala,0.9179,synonym
Xylomimetes trachyptera,Pilostibes trachyptera,0.9155,synonym
Arignota stercorata,Xylorycta stercorata,0.9583,synonym
Zauclophora metaphaeella,Safra metaphaeella,0.8913,synonym
Zauclophora muscerdella,Cryptolechia muscerdella,0.9434,synonym
Zauclophora pelodes,Xylorycta cirrhodes,0.8828,synonym
Zauclophora procellosa,Clerarcha procellosa,0.7073,synonym
Scieropepla orthosema,Procometis orthosema,0.9281,synonym
Scieropepla reversella,Cryptolechia abrosella,0.7756,synonym
Scieropepla reversella,Cryptolechia reversella,0.8031,synonym
Scieropepla serica,Tanyzancla serica,0.909,synonym
Scieropepla serina,Procometis trispora,0.6669,not synonym
Scieropepla typhicola,Scieropepla typicola,0.9595,synonym
Pilostibes basivitta,Marisba basivitta,0.8026,synonym
Pilostibes basivitta,Pilostibes enchidias,0.9278,synonym
Thysiarcha ecclesiastis,Cryptophasa ecclesiastis,0.9275,synonym
Paralypusa chinensis,Pseudatemelia chinensis,0.9681,synonym
Diurnea fagella,Chimabacche fagella,0.623,not synonym
Diurnea fagella,Chimabacche nolckenella,0.7265,synonym
Diurnea fagella,Diurnea dormoyella,0.9524,synonym
Diurnea fagella,Diurnea nolckenella,0.9743,synonym
Diurnea fagella,Tinea fagella,0.9295,synonym
Diurnea fumida,Dasystoma fumida,0.9073,synonym
Diurnea fumida,Sciaphila fumida,0.8661,synonym
Diurnea lipsiella,Chimabacche phryganella,0.8849,synonym
Diurnea lipsiella,Diurnea lipsiella,1.0,synonym
Diurnea lipsiella,Diurnea novembris,0.9254,synonym
Diurnea lipsiella,Diurnea phryganella,0.9468,synonym
Diurnea lipsiella,Lemmatophila phryganella,0.783,synonym
Dasystoma kurentzovi,Cheimophila kurentzovi,0.872,synonym
Dasystoma salicella,Cheimophila salicella,0.8617,synonym
Dasystoma salicella,Hercyna rufocrinitalis,0.862,synonym
Dasystoma salicella,Lemmatophila salicella,0.8608,synonym
Agnoea aeneella,Borkhausenia aeneella,0.9479,synonym
Agnoea colurnella,Borkhausenia colurnella,0.9387,synonym
Agnoea colurnella,Borkhausenia pulverosella,0.8694,synonym
Agnoea colurnella,Pseudatemelia colurnella,0.916,synonym
Agnoea detrimentella,Borkhausenia detrimentella,0.9343,synonym
Agnoea detrimentella,Pseudatemelia detrimentella,0.7704,synonym
Agnoea elsae,Borkhausenia elsae,0.8782,synonym
Agnoea elsae,Pseudatemelia elsae,0.6906,not synonym
Agnoea filiella,Borkhausenia filiella,0.8664,synonym
Agnoea filiella,Pseudatemelia filiella,0.6948,not synonym
Agnoea flavifrontella,Borkhausenia flavifrontella,0.9401,synonym
Agnoea flavifrontella,Pseudatemelia flavifrontella,0.965,synonym
Agnoea flavifrontella,Tubuliferola flavifrontella,0.9451,synonym
Agnoea fuscifrontella,Agnoea evanescens,0.7952,synonym
Agnoea fuscifrontella,Blastobasis evanescens,0.7758,synonym
Agnoea fuscifrontella,Borkhausenia fuscifrontella,0.9517,synonym
Agnoea fuscifrontella,Pseudatemelia fuscifrontella,0.9476,synonym
Agnoea josephinae,Pseudatemelia josephinae,0.7148,synonym
Agnoea langohri,Pseudatemelia langohri,0.718,synonym
Agnoea latipennella,Pseudatemelia latipennella,0.9693,synonym
Agnoea lavandulae,Borkhausenia ardosiella,0.8374,synonym
Agnoea lavandulae,Borkhausenia lavandulae,0.8907,synonym
Agnoea lavandulae,Borkhausenia pulverisquamis,0.8525,synonym
Agnoea lavandulae,Oecophora ardosiella,0.7833,synonym
Agnoea lavandulae,Pseudatemelia lavandulae,0.823,synonym
Agnoea pallidella,Borkhausenia pallidella,0.8564,synonym
Agnoea pallidella,Pseudatemelia pallidella,0.9566,synonym
Agnoea semifuscata,Pseudatemelia semifuscata,0.6498,not synonym
Agnoea subgilvida,Pseudatemelia subgilvida,0.7353,synonym
Agnoea subgilvida,Tubuliferola subgilvida,0.7785,synonym
Agnoea subochreella,Agnoea panzerella,0.9192,synonym
Agnoea subochreella,Pseudatemelia panzerella,0.9123,synonym
Agnoea subochreella,Pseudatemelia subochreella,0.9365,synonym
Agnoea subochreella,Tubuliferola subochreella,0.9245,synonym
Agnoea synchrozella,Pseudatemelia synchrozella,0.755,synonym
Agnoea xanthosoma,Pseudatemelia xanthosoma,0.9621,synonym
Atosia doenia,Parasa doenia,0.9091,synonym
Eukarschia mitis,Gephyrophora mitis,0.9357,synonym
Euphlyctina phaeopasta,Araeogyia phaeopasta,0.8528,synonym
Lithacodes fasciola,Limacodes fasciola,0.9714,synonym
Lithacodes fasciola,Lithacodes belfragei,0.8623,synonym
Lithacodes fasciola,Lithacodes divergens,0.9051,synonym
Lithacodes fasciola,Lithacodes laticlavia,0.7952,synonym
Lithacodes fiskeana,Tortricidia fiskeana,0.9081,synonym
Parapluda incincta,Apluda incincta,0.8757,synonym
Parapluda incincta,Apluda schaliphlebia,0.858,synonym
Parapluda incincta,Parapluda schaliphlebia,0.9042,synonym
Parapluda invitabilis,Apluda similis,0.9013,synonym
Parapluda invitabilis,Heterogenea invitabilis,0.8974,synonym
Parapluda invitabilis,Parapluda similis,0.9194,synonym
Parapluda monogramma,Apluda monogramma,0.908,synonym
Parapluda syngrapha,Apluda syngrapha,0.8356,synonym
Euclea aemilia,Bombyx aemilia,0.8969,synonym
Euclea aemilia,Euclea discolor,0.8935,synonym
Euclea bidiscalis,Miresa doriens,0.8075,synonym
Euclea byrne,Metraga byrne,0.8976,synonym
Euclea cippus,Bombyx cippus,0.8994,synonym
Euclea cippus,Phalaena cippus,0.9082,synonym
Euclea copac,Neomiresa copac,0.9212,synonym
Euclea delphinii,Empretia paenulata,0.7697,synonym
Euclea delphinii,Euclea bifida,0.75,synonym
Euclea delphinii,Euclea elliotii,0.9301,synonym
Euclea delphinii,Euclea ferruginea,0.8277,synonym
Euclea delphinii,Euclea interjecta,0.6681,not synonym
Euclea delphinii,Euclea mira,0.8302,synonym
Euclea delphinii,Euclea monitor,0.6271,not synonym
Euclea delphinii,Euclea strigata,0.9244,synonym
Euclea delphinii,Euclea viridiclava,0.9208,synonym
Euclea delphinii,Limacodes argentata,0.9036,synonym
Euclea delphinii,Limacodes delphinii,0.9534,synonym
Euclea delphinii,Limacodes querceti,0.8515,synonym
Euclea delphinii,Limacodes quercicola,0.8919,synonym
Euclea delphinii,Nochelia tardigrada,0.7553,synonym
Euclea delphinii,Nyssia varia,0.7845,synonym
Euclea delphinii,Parasa excisa,0.6504,not synonym
Euclea delphinii,Parasa incisa,0.6199,not synonym
Euclea delphinii,Sibine varia,0.7937,synonym
Euclea determinata,Metraga costilinea,0.7589,synonym
Euclea dicolon,Phalaena dicolon,0.925,synonym
Euclea diversa,Euclea retroversa,0.7273,synonym
Euclea diversa,Semyra diversa,0.8522,synonym
Euclea diversa,Teinorhyncha vericrux,0.6665,not synonym
Euclea dolosa,Hydrias dolosa,0.891,synonym
Euclea norba,Sibine norba,0.8545,synonym
Euclea plugma,Euclea chiriquensis,0.6999,not synonym
Euclea plugma,Euclea zygia,0.7589,synonym
Euclea plugma,Metraga colle,0.8129,synonym
Euclea plugma,Metraga hoboa,0.7927,synonym
Euclea plugma,Metraga perplexa,0.8224,synonym
Euclea plugma,Phalaena plugma,0.7587,synonym
Euclea rufa,Neomires rufa,0.7303,synonym
Euclea spadicis,Monoleuca spadicis,0.8658,synonym
Pectinarosa alastor,Altha alastor,0.5779,not synonym
Melinaria campagnei,Parasa campagnei,0.8437,synonym
Melinaria repanda,Neaera repanda,0.9105,synonym
Melinaria repanda,Parasa repanda,0.8912,synonym
Caffricola cloeckneria,Bombyx cloeckneria,0.8455,synonym
Heringocena andobo,Pseudomocena andobo,0.8242,synonym
Heringocena difficilis,Pseudomocena difficilis,0.8823,synonym
Vipsania melanois,Pseudovipsania melanois,0.9307,synonym
Vipsania schevi,Lithacodes schevi,0.8854,synonym
Narosoideus flavidorsalis,Heterogena flavidorsalis,0.9286,synonym
Narosoideus flavidorsalis,Narosoideus flavissima,0.9584,synonym
Narosoideus flavidorsalis,Narosoideus micans,0.966,synonym
Narosoideus fuscicostalis,Miresa fuscicostalis,0.9519,synonym
Narosoideus vulpina,Narosoideus apicipennis,0.9609,synonym
Narosoideus vulpina,Narosoideus aurisoma,0.949,synonym
Narosoideus vulpina,Narosoideus formosanus,0.9619,synonym
Narosoideus vulpina,Narosoideus formosicola,0.9603,synonym
Narosoideus vulpina,Vipsania vulpina,0.927,synonym
Cyclopterana reducta,Cycloptera reducta,0.9801,synonym
Altha peralbida,Thosea peralbida,0.9165,synonym
Narosopsis leucospila,Narosopsis vynia,0.7226,synonym
Ctenolita auribasalis,Miresa auribasalis,0.933,synonym
Ctenolita auribasalis,Teinorhyncha auribasalis,0.9401,synonym
Ctenolita epargyra,Ctenolita cerdo,0.9022,synonym
Ctenolita epargyra,Teinorhyncha cerdo,0.8439,synonym
Ctenolita nobilior,Miresa nobilior,0.7813,synonym
Ctenolita nobilior,Teinorhyncha nobilior,0.7716,synonym
Ctenolita pyrosomoides,Miresa pyrosomoides,0.9636,synonym
Ctenolita pyrosomoides,Teinorhyncha pyrosomoides,0.941,synonym
Comanula uniformis,Comanula bipunctata,0.9276,synonym
Comanula uniformis,Hildala uniformis,0.8453,synonym
Narosa argentipuncta,Narosa narcha,0.7798,synonym
Narosa corusca,Narosa baibarana,0.9104,synonym
Narosa corusca,Narosa ishidae,0.7948,synonym
Narosa corusca,Narosa shinshana,0.6947,not synonym
Narosa corusca,Narosa takamukui,0.6869,not synonym
Narosa nigrisigna,Heterogenea formosana,0.7816,synonym
Narosa nigrisigna,Narosa ochracea,0.9611,synonym
Narosa nigrisigna,Narosa penicillata,0.9387,synonym
Sansarea alenae,Euphlyctina alenae,0.6681,not synonym
Sansarea circulifera,Trichogyia circulifera,0.8616,synonym
Macroplectrina apicalis,Macroplectra apicalis,0.986,synonym
Macroplectrina semiaurantia,Macroplectra semiaurantia,0.9808,synonym
Brachiopsis vicina,Caffricola vicina,0.764,synonym
Vipaka niveipennis,Narosa niveipennis,0.9409,synonym
Zinara ploetzi,Heterolepis ploetzi,0.6522,not synonym
Magos xanthopus,Bietia xanthopus,0.932,synonym
Anilina nubilata,Paryphanta nubilata,0.9506,synonym
Anilina personata,Paryphanta personata,0.9268,synonym
Anilina plebeia,Paryphanta plebeia,0.9387,synonym
Anilina tessmanni,Paryphanta tessmanni,0.8947,synonym
Mambara andamanensis,Hypoblechra andamanensis,0.9644,synonym
Mambara delocrossa,Birthama delocrossa,0.9491,synonym
Mambara haplopis,Birthama haplopis,0.8197,synonym
Mambara minimalis,Setora minimalis,0.943,synonym
Chalcocelis albiguttatus,Altha pulchrimacula,0.8014,synonym
Chalcocelis albiguttatus,Doratifera hemistaura,0.6696,not synonym
Chalcocelis albiguttatus,Doratifera nephrochrysa,0.8227,synonym
Chalcocelis albiguttatus,Limacodes albiguttatus,0.9708,synonym
Chalcocelis albiguttatus,Miresa fumifera,0.8637,synonym
Chalcocelis albiguttatus,Miresa nigriplaga,0.9129,synonym
Chalcocelis albiguttatus,Miresa sanguineomaculata,0.7643,synonym
Chalcocelis castanica,Chalcoscelis castanica,0.9937,synonym
Chrysopolomides nivea,Chrysopoloma nivea,0.9313,synonym
Soteira altilis,Parasa altilis,0.9358,synonym
Soteira grandis,Parasa grandis,0.8959,synonym
Soteira ostia,Latoia pseudostia,0.7316,synonym
Soteira ostia,Parasa ostia,0.8256,synonym
Soteira prasina,Parasa prasina,0.9292,synonym
Soteira shaanxiensis,Latoia shaanxiensis,0.9497,synonym
Soteira shaanxiensis,Parasa shaanxiensis,0.957,synonym
Soteira vadimi,Parasa vadimi,0.9495,synonym
Quasinarosa fulgens,Microcampa fulgens,0.9224,synonym
Quasinarosa fulgens,Narosa kanshireana,0.6228,not synonym
Quasinarosa fulgens,Narosa pseudochracea,0.9269,synonym
Quasinarosa fulgens,Narosa tamsi,0.642,not synonym
Circeida argentifascia,Latoia argentifascia,0.9166,synonym
Circeida argentifascia,Parasa argentifascia,0.9212,synonym
Circeida eupuncta,Latoia eupuncta,0.8407,synonym
Circeida eupuncta,Parasa eupuncta,0.8955,synonym
Circeida liangdiana,Latoia liangdiana,0.9115,synonym
Circeida liangdiana,Parasa liangdiana,0.8924,synonym
Circeida mutifascia,Latoia mutifascia,0.9113,synonym
Circeida mutifascia,Parasa mutifascia,0.9407,synonym
Circeida parapuncta,Latoia parapuncta,0.9255,synonym
Circeida parapuncta,Parasa parapuncta,0.9566,synonym
Avatara interrupta,Thosea interrupta,0.8968,synonym
Avatara lineofusca,Iragoides lineofusca,0.8266,synonym
Avatara plethoneura,Thosea plethoneura,0.8647,synonym
Avatara pseudocana,Aphendala pseudocana,0.9024,synonym
Caissa fasciatum,Ceratonema fasciatum,0.9457,synonym
Aergina fumosa,Parasa fumosa,0.9484,synonym
Aergina gentilis,Latoia gentilis,0.9026,synonym
Aergina gentilis,Parasa gentilis,0.8142,synonym
Aergina hilaris,Limacodes hilaris,0.8669,synonym
Aergina hilaris,Parasa hockingii,0.8429,synonym
Aergina laeta,Aergina retracta,0.7966,synonym
Aergina laeta,Parasa laeta,0.9728,synonym
Aergina laeta,Parasa retracta,0.8417,synonym
Aergina liharis,Parasa liharis,0.8099,synonym
Aergina mirza,Parasa mirza,0.9413,synonym
Aergina paeera,Parasa paeera,0.9365,synonym
Aergina solovyevi,Parasa solovyevi,0.9696,synonym
Scopelodes minax,Bethura minax,0.4772,not synonym
Scopelodes unicolor,Dalcera palpigera,0.9061,synonym
Scopelodes unicolor,Nyssia micacea,0.8271,synonym
Scopelodes unicolor,Scopelodes lutea,0.8379,synonym
Scopelodes unicolor,Scopelodes palpalis,0.7448,synonym
Scopelodes vulpina,Scopelodes tantula,0.67,not synonym
Nephelimorpha argentilinea,Parasa argentilinea,0.9125,synonym
Nephelimorpha argentilinea,Parasa elegantula,0.816,synonym
Omocenops micacea,Anzabe micacea,0.7177,synonym
Comana albibasis,Comana albiplaga,0.8949,synonym
Comana albibasis,Miresa albibasis,0.9705,synonym
Comana albibasis,Miresa humeralis,0.9141,synonym
Comana corones,Bombyx corones,0.7798,synonym
Comana corones,Susica miltocosma,0.9031,synonym
Comana cosmocalla,Comana casmocalla,0.7036,synonym
Comana cosmocalla,Susica cosmocalla,0.6983,not synonym
Comana cosmocalla,Susica dochmosema,0.6705,not synonym
Comana euryparoa,Susica euryparoa,0.9179,synonym
Comana idiomorpha,Susica idiomorpha,0.9346,synonym
Comana miltochyta,Susica miltochyta,0.9541,synonym
Comana miltogramma,Darala rosea,0.7996,synonym
Comana miltogramma,Hildala miniacea,0.8454,synonym
Comana miltogramma,Momopola miltogramma,0.9513,synonym
Comana mjobergi,Comana mjoebergi,0.9858,synonym
Comana mjobergi,Susica mjobergi,0.8212,synonym
Comana monomorpha,Natada monomorpha,0.9039,synonym
Comana resplendens,Susica resplendens,0.8782,synonym
Comana rosea,Anthela rosea,0.5919,not synonym
Comana testacea,Mecytha testacea,0.9624,synonym
Leucophobetron argentiflua,Altha rufipuncta,0.661,not synonym
Leucophobetron argentiflua,Euproctis argentiflua,0.9471,synonym
Leucophobetron argyrorrhaea,Euproctis argyrorrhaea,0.955,synonym
Leucophobetron punctata,Euclea punctata,0.9394,synonym
Achrocerides theorini,Lasiocampa theorini,0.9177,synonym
Aphendala cana,Parasa cana,0.7428,synonym
Aphendala cana,Thosea barikoti,0.6144,not synonym
Aphendala cana,Thosea cana,0.7581,synonym
Aphendala conicosma,Thosea conicosma,0.883,synonym
Aphendala ferreogrisea,Tetraphleba ferreogrisea,0.9418,synonym
Aphendala ferreogrisea,Thosea ferreogrisea,0.7967,synonym
Aphendala imitabilis,Thosea imitabilis,0.7776,synonym
Aphendala recta,Thosea recta,0.8094,synonym
Aphendala unicolor,Aphendala mechiensis,0.9167,synonym
Aphendala unicolor,Aphendala transversata,0.922,synonym
Aphendala unicolor,Aphendala tripartita,0.9368,synonym
Aphendala unicolor,Macroplectra unicolor,0.9205,synonym
Aphendala unicolor,Parasa unicolor,0.963,synonym
Aphendala unicolor,Thosea discipunctata,0.8484,synonym
Aphendala unicolor,Thosea phaeobasis,0.8846,synonym
Aphendala unicolor,Thosea transversata,0.7482,synonym
Aphendala unicolor,Thosea tripartita,0.684,not synonym
Hindothosea cervina,Thosea cervina,0.862,synonym
Hindothosea cervina,Thosea duplexa,0.6904,not synonym
Neomocena convergens,Omocena convergens,0.8966,synonym
Birthamula chara,Contheyla chara,0.9595,synonym
Birthamula rufa,Thosea grandis,0.8476,synonym
Hadraphe aprica,Hadraphe callima,0.8316,synonym
Hadraphe aprica,Scirrhoma callima,0.6907,not synonym
Hadraphe ethiopica,Scirrhoma ethiopica,0.9528,synonym
Pretas furcillata,Aphendala furcillata,0.8018,synonym
Pretas separata,Thosea separata,0.8172,synonym
Thronia badia,Parasa badia,0.8954,synonym
Thronia dilucida,Parasa dilucida,0.7411,synonym
Thronia xizangensis,Parasa xizangensis,0.9672,synonym
Thronia xueshana,Latoia xueshana,0.971,synonym
Thronia xueshana,Parasa xueshana,0.9428,synonym
Eloasa acrata,Parasa acrata,0.9423,synonym
Eloasa atmodes,Parasa atmodes,0.9389,synonym
Eloasa atmodes,Parasa loxoleuca,0.8073,synonym
Eloasa bombycoides,Doratiophora amphibrota,0.9155,synonym
Eloasa bombycoides,Lethocephala bombycoides,0.9447,synonym
Eloasa bombycoides,Parasa rutila,0.7574,synonym
Eloasa bombycoides,Thosea erecta,0.8549,synonym
Eloasa brevipennis,Parasa brevipennis,0.8951,synonym
Eloasa calida,Doratifera congrua,0.7339,synonym
Eloasa calida,Lethocephala eremospila,0.6548,not synonym
Eloasa callidesma,Thosea callidesma,0.9133,synonym
Eloasa infrequens,Apoda infrequens,0.9387,synonym
Eloasa infrequens,Parasa entima,0.6726,not synonym
Eloasa liosarca,Anaxidea integer,0.856,synonym
Eloasa liosarca,Eloasa liasarca,0.8425,synonym
Eloasa liosarca,Thosea liosarca,0.9572,synonym
Eloasa luxa,Thosea luxa,0.923,synonym
Eloasa perixera,Doratifera perixera,0.9001,synonym
Eloasa sphenosema,Doratifera sphenosema,0.9667,synonym
Eloasa symphonistis,Parasa symphonistis,0.9188,synonym
Susica pannosa,Hyphorma pannosa,0.9066,synonym
Susica sinensis,Susica formosana,0.7671,synonym
Susica sinensis,Susica fusca,0.8055,synonym
Susica sinensis,Susica fusca,0.8055,synonym
Susica sinensis,Tadema sinensis,0.9358,synonym
Eucalliathla candidella,Oecophora candidella,0.8971,synonym
Argyresthia pruniella,Argyresthia ephippella,0.9618,synonym
Argyresthia pruniella,Oecophora pruniella,0.9534,synonym
Argyresthia notoleuca,Zelleria notoleuca,0.8997,synonym
Argyresthia curvella,Argyresthia arcella,0.9684,synonym
Argyresthia curvella,Argyresthia denudatella,0.9434,synonym
Argyresthia curvella,Argyresthia nitidella,0.9471,synonym
Argyresthia curvella,Argyresthia ossea,0.844,synonym
Argyresthia curvella,Argyresthia purpurascentella,0.9598,synonym
Argyresthia curvella,Tinea arcella,0.9214,synonym
Argyresthia abdominalis,Argyresthia decimella,0.8559,synonym
Argyresthia abdominalis,Argyresthia inauratella,0.8789,synonym
Argyresthia triplicata,Argyresthia trifasciae,0.9511,synonym
Argyresthia pygmaeella,Argyresthia rudolphella,0.9575,synonym
Argyresthia pygmaeella,Argyresthia semifasciella,0.9669,synonym
Argyresthia ivella,Argyresthia andereggiella,0.9695,synonym
Argyresthia ivella,Argyresthia kuwayamella,0.8766,synonym
Argyresthia ivella,Argyresthia quadriella,0.9697,synonym
Argyresthia ivella,Oecophora andereggiella,0.9355,synonym
Argyresthia chrysidella,Argyresthia walsinghamella,0.9691,synonym
Argyresthia atlanticella,Argyresthia minusculella,0.9664,synonym
Trachydora acrocyrta,Syntomactis acrocyrta,0.9397,synonym
Trachydora acromianta,Syntomactis acromianta,0.9237,synonym
Trachydora bacteriota,Balionebris bacteriota,0.9159,synonym
Trachydora capnopa,Pogonias capnopa,0.8023,synonym
Trachydora centromela,Trachydora holochorda,0.8288,synonym
Trachydora fumea,Syntomactis fumea,0.9412,synonym
Trachydora heliodora,Pogonias heliodora,0.93,synonym
Trachydora heliotricha,Pogonias heliotricha,0.8584,synonym
Trachydora juengeri,Sindicola juengeri,0.931,synonym
Trachydora macrostola,Syntomactis macrostola,0.9298,synonym
Trachydora plumigera,Anataractis plumigera,0.9547,synonym
Trachydora porphyrescens,Pogonias porphyrescens,0.9634,synonym
Trachydora pygaea,Syntomactis pygaea,0.9447,synonym
Trachydora squamella,Sindicola squamella,0.9509,synonym
Trachydora tephronota,Syntomactis tephronota,0.9012,synonym
Zaratha pterodactylella,Zaratha niveiventris,0.766,synonym
Palaeomystella chalcopeda,Palaeomystis chalcopeda,0.9485,synonym
Nanodacna logistica,Colonophora logistica,0.8305,synonym
Nanodacna vinacea,Homaledra vinacea,0.9286,synonym
Microcolona durata,Aganoptila durata,0.948,synonym
Microcolona phanarcha,Aganoptila phanarcha,0.9394,synonym
