species,oldSpeciesCanonicalName,similarity,prediction,model,threshold,pooling
Attagenus trifasciatus,Attagenus 3-fasciatus,0.9979,synonym,gpt2-medium,0.7,last_token
Attagenus undulatus,Aethriostoma undulata,0.9986,synonym,gpt2-medium,0.7,last_token
Attagenus unicolor,Attagenus megatoma,0.9962,synonym,gpt2-medium,0.7,last_token
Attagenus unicolor,Attagenus piceus,0.9965,synonym,gpt2-medium,0.7,last_token
Thaumaglossa anthrenoides,Pseudothaumaglossa anthrenoides,0.9998,synonym,gpt2-medium,0.7,last_token
Orphinus fulvipes,Cryptorhopalum brevicorne,0.9877,synonym,gpt2-medium,0.7,last_token
Orphinus fulvipes,Orphinus brevicorne,0.9916,synonym,gpt2-medium,0.7,last_token
Orphinus fulvipes,Orphinus brevicornis,0.9992,synonym,gpt2-medium,0.7,last_token
Orphinus fulvipes,Trogoderma fulvipes,0.9988,synonym,gpt2-medium,0.7,last_token
Thorictodes heydeni,Thaumaphrastus heydeni,0.9992,synonym,gpt2-medium,0.7,last_token
Thorictodes heydeni,Thorictodes karanisensis,0.9913,synonym,gpt2-medium,0.7,last_token
Megatoma alpina,Globicornis alpina,0.9987,synonym,gpt2-medium,0.7,last_token
Heterocerus crinitus,Augyles crinitus,0.9986,synonym,gpt2-medium,0.7,last_token
Heterocerus fenestratus,Heterocerus pulchellus,0.9991,synonym,gpt2-medium,0.7,last_token
Heterocerus flindersi,Heterocerus caledoniae,0.9978,synonym,gpt2-medium,0.7,last_token
Heterocerus maritimus,Augyles britannicus,0.9983,synonym,gpt2-medium,0.7,last_token
Heterocerus maritimus,Heterocerus basalis,0.9987,synonym,gpt2-medium,0.7,last_token
Heterocerus maritimus,Heterocerus britannicus,0.9987,synonym,gpt2-medium,0.7,last_token
Heterocerus maritimus,Heterocerus burchanensis,0.9979,synonym,gpt2-medium,0.7,last_token
Augyles aureolus,Heterocerus aureolus,0.9996,synonym,gpt2-medium,0.7,last_token
Pastillodes areolatus,Cybocephalus areolatus,0.9996,synonym,gpt2-medium,0.7,last_token
Cybocephalus binotatus,Cybocephalus aeneonittens,0.9941,synonym,gpt2-medium,0.7,last_token
Cybocephalus membranaceus,Dissia membranaceus,0.9995,synonym,gpt2-medium,0.7,last_token
Cybocephalus politissimus,Cybocephalus flavicapitus,0.9992,synonym,gpt2-medium,0.7,last_token
Cybocephalus politissimus,Cybocephalus flavocapitis,0.9987,synonym,gpt2-medium,0.7,last_token
Cybocephalus amplus,Dissia ampla,0.9981,synonym,gpt2-medium,0.7,last_token
Cybocephalus sublucidus,Brachypterus sublucidus,0.9995,synonym,gpt2-medium,0.7,last_token
Pacicephalus gressitti,Cybocephalus gressitti,0.9996,synonym,gpt2-medium,0.7,last_token
Amedissia argentinus,Pycnocephalus argentinus,0.9997,synonym,gpt2-medium,0.7,last_token
Theticephalus aurocupreus,Cybocephalus aurocupreus,0.9996,synonym,gpt2-medium,0.7,last_token
Theticephalus decamerus,Cybocephalus decamerus,0.9996,synonym,gpt2-medium,0.7,last_token
Theticephalus mesopotamicus,Cybocephalus mesopatamicus,0.9995,synonym,gpt2-medium,0.7,last_token
Theticephalus mesopotamicus,Cybocephalus mesopotamicus,0.9996,synonym,gpt2-medium,0.7,last_token
Theticephalus mesopotamicus,Theticephalus mesopatamicus,0.9994,synonym,gpt2-medium,0.7,last_token
Theticephalus nigriceps,Dissia nigriceps,0.9994,synonym,gpt2-medium,0.7,last_token
Theticephalus salsus,Cybocephalus salsus,0.9996,synonym,gpt2-medium,0.7,last_token
Cycloderma deplanatum,Critoderma deplanatum,0.9993,synonym,gpt2-medium,0.7,last_token
Micromalthus debilis,Micromalthus anansi,0.9986,synonym,gpt2-medium,0.7,last_token
Eurymeloe baudueri,Meloe baudueri,0.9996,synonym,gpt2-medium,0.7,last_token
Eurymeloe ganglbaueri,Meloe ganglbaueri,0.9999,synonym,gpt2-medium,0.7,last_token
Eurymeloe mediterraneus,Meloe mediterraneus,0.9994,synonym,gpt2-medium,0.7,last_token
Eurymeloe murinus,Meloe murinus,0.9997,synonym,gpt2-medium,0.7,last_token
Eurymeloe scabriusculus,Meloe scabriusculus,0.9998,synonym,gpt2-medium,0.7,last_token
Palaestra guerini,Telephorus guerinii,0.9941,synonym,gpt2-medium,0.7,last_token
Palaestra guerini,Zonitis guerini,0.9983,synonym,gpt2-medium,0.7,last_token
Hycleus polymorphus,Mylabris polymorpha,0.9959,synonym,gpt2-medium,0.7,last_token
Hycleus phaleratus,Meloe phalerata,0.998,synonym,gpt2-medium,0.7,last_token
Hycleus phaleratus,Mylabris phalerata,0.9981,synonym,gpt2-medium,0.7,last_token
Hycleus brevetarsalis,Mylabris brevetarsalis,0.9996,synonym,gpt2-medium,0.7,last_token
Cantharis lithophilus,Lytta lithophila,0.9983,synonym,gpt2-medium,0.7,last_token
Zonitis chrysomeloides,Cantharis chrysomeloides,0.9979,synonym,gpt2-medium,0.7,last_token
Zonitis melanoptera,Zonitis nigripennis,0.9993,synonym,gpt2-medium,0.7,last_token
Cerocoma schaefferi,Cerocoma viridis,0.9973,synonym,gpt2-medium,0.7,last_token
Meloe brevicollis,Meloe cephalotes,0.9991,synonym,gpt2-medium,0.7,last_token
Meloe brevicollis,Meloe laticollis,0.9992,synonym,gpt2-medium,0.7,last_token
Meloe brevicollis,Meloe puncticollis,0.9996,synonym,gpt2-medium,0.7,last_token
Meloe brevicollis,Meloe splendens,0.9978,synonym,gpt2-medium,0.7,last_token
Meloe cicatricosus,Meloe cicatricosus,1.0,synonym,gpt2-medium,0.7,last_token
Meloe cicatricosus,Meloe punctatoradiatus,0.9975,synonym,gpt2-medium,0.7,last_token
Meloe rugosus,Meloe autumnalis,0.9989,synonym,gpt2-medium,0.7,last_token
Meloe rugosus,Meloe punctatus,0.9993,synonym,gpt2-medium,0.7,last_token
Meloe rugosus,Meloe rugulosus,0.9999,synonym,gpt2-medium,0.7,last_token
Strongylites stygius,Strongulites stygicus,0.9991,synonym,gpt2-medium,0.7,last_token
Trachypachus gibbsii,Trachypachus alticola,0.9982,synonym,gpt2-medium,0.7,last_token
Trachypachus gibbsii,Trachypachus californicus,0.9987,synonym,gpt2-medium,0.7,last_token
Trachypachus inermis,Trachypachus holmbergi,0.9918,synonym,gpt2-medium,0.7,last_token
Trachypachus inermis,Trachypachus oregonus,0.999,synonym,gpt2-medium,0.7,last_token
Trachypachus inermis,Trachypachus specularis,0.9983,synonym,gpt2-medium,0.7,last_token
Trachypachus zetterstedtii,Trachypachus laticollis,0.9984,synonym,gpt2-medium,0.7,last_token
Trachypachus zetterstedtii,Trachypachus transversicollis,0.998,synonym,gpt2-medium,0.7,last_token
Systolosoma breve,Notioxenus bilunulatus,0.992,synonym,gpt2-medium,0.7,last_token
Systolosoma breve,Systolosoma bilunulatum,0.9943,synonym,gpt2-medium,0.7,last_token
Necronectulus avus,Necronetulus avus,0.9998,synonym,gpt2-medium,0.7,last_token
Ademosynoides asiatica,Petrodromeus asiaticus,0.9981,synonym,gpt2-medium,0.7,last_token
Ademosynoides chinatica,Toksunius chinaticus,0.9963,synonym,gpt2-medium,0.7,last_token
Ademosynoides juxta,Dzeregia juxta,0.9988,synonym,gpt2-medium,0.7,last_token
Gyrinites minimus,Phaulogyrinus minimus,0.9977,synonym,gpt2-medium,0.7,last_token
Epicerastes exstans,Epicerastes extans,0.9997,synonym,gpt2-medium,0.7,last_token
Epicerastes viridescens,Epicerastes viridanus,0.9989,synonym,gpt2-medium,0.7,last_token
Protaedus butoniensis,Protaedus butoniense,0.9993,synonym,gpt2-medium,0.7,last_token
Protaedus frontaltus,Protaedus fontaltus,0.9994,synonym,gpt2-medium,0.7,last_token
Protaedus matertera,Protaedus materta,0.9977,synonym,gpt2-medium,0.7,last_token
Protaedus robusticornis,Protaedus robusticorne,0.9944,synonym,gpt2-medium,0.7,last_token
Bothrus taiwanus,Physopterus taiwanus,0.9926,synonym,gpt2-medium,0.7,last_token
Hucus numatus,Hucus numatus,1.0,synonym,gpt2-medium,0.7,last_token
Exillis aeruginosus,Exillis aeroginosus,0.9999,synonym,gpt2-medium,0.7,last_token
Dolichocera harmandi,Dolichocera hermandi,0.9981,synonym,gpt2-medium,0.7,last_token
Dolichocera schanus,Dolichocera schanus,1.0,synonym,gpt2-medium,0.7,last_token
Dolichocera tessellata,Dolichocera tessellatus,0.9995,synonym,gpt2-medium,0.7,last_token
Tophoderes depontanus,Syntophoderes depontanus,0.9997,synonym,gpt2-medium,0.7,last_token
Tophoderes sinuatocollis,Tophoderes sinuaticollis,0.9997,synonym,gpt2-medium,0.7,last_token
Anthribus moussonii,Anthribus moussoni,0.9993,synonym,gpt2-medium,0.7,last_token
Anthribus nebulosus,Anthribus minimus,0.9994,synonym,gpt2-medium,0.7,last_token
Anthribus nebulosus,Anthribus tesselatus,0.9995,synonym,gpt2-medium,0.7,last_token
Anthribus nebulosus,Anthribus variegatus,0.9992,synonym,gpt2-medium,0.7,last_token
Anthribus nebulosus,Brachytarsus kusteri,0.9956,synonym,gpt2-medium,0.7,last_token
Anthribus scapularis,Brachytarsus rosae,0.9913,synonym,gpt2-medium,0.7,last_token
Deropygus chaerilus,Deropygus cherilus,0.9996,synonym,gpt2-medium,0.7,last_token
Electranthribus zherikhini,Glaesotropis zherikhini,0.9997,synonym,gpt2-medium,0.7,last_token
Sympaector revocans,Sympaector revocanus,0.9969,synonym,gpt2-medium,0.7,last_token
Phytocerum cayennense,Cerophytum cayennense,0.9992,synonym,gpt2-medium,0.7,last_token
Idiomerus brevicornis,Necromera brevicornis,0.9987,synonym,gpt2-medium,0.7,last_token
Idiomerus inflatus,Necromera inflata,0.9976,synonym,gpt2-medium,0.7,last_token
Idiomerus intermedius,Necromera intermedia,0.9985,synonym,gpt2-medium,0.7,last_token
Idiomerus latissimus,Necromera latissima,0.9954,synonym,gpt2-medium,0.7,last_token
Idiomerus longicornis,Necromera longicornis,0.9988,synonym,gpt2-medium,0.7,last_token
Idiomerus musculus,Necromera muscula,0.9974,synonym,gpt2-medium,0.7,last_token
Leptocnemus longus,Necromera longa,0.9967,synonym,gpt2-medium,0.7,last_token
Baissophytum amplus,Baissopsis amplus,0.9996,synonym,gpt2-medium,0.7,last_token
Dolichocis laricinus,Ennearthron laricinum,0.9986,synonym,gpt2-medium,0.7,last_token
Sulcacis bidentulus,Cis alpinus,0.9976,synonym,gpt2-medium,0.7,last_token
Sulcacis curtulus,Cis criddlei,0.9976,synonym,gpt2-medium,0.7,last_token
Sulcacis curtulus,Cis cylindricus,0.9992,synonym,gpt2-medium,0.7,last_token
Sulcacis curtulus,Cis montana,0.9951,synonym,gpt2-medium,0.7,last_token
Sulcacis curtulus,Cis sorror,0.9728,synonym,gpt2-medium,0.7,last_token
Sulcacis curtulus,Sulcacis criddlei,0.9989,synonym,gpt2-medium,0.7,last_token
Sulcacis curtulus,Sulcacis cylindricus,0.9993,synonym,gpt2-medium,0.7,last_token
Sulcacis curtulus,Sulcacis montana,0.9969,synonym,gpt2-medium,0.7,last_token
Sulcacis curtulus,Sulcacis niger,0.9942,synonym,gpt2-medium,0.7,last_token
Sulcacis curtulus,Sulcacis sorror,0.9811,synonym,gpt2-medium,0.7,last_token
Sulcacis fronticornis,Cis fronticornis,0.9992,synonym,gpt2-medium,0.7,last_token
Sulcacis fronticornis,Rhopalodontus fronticornis,0.9994,synonym,gpt2-medium,0.7,last_token
Sulcacis nitidus,Cis nitidus,0.9993,synonym,gpt2-medium,0.7,last_token
Sulcacis nitidus,Ennearthron affine,0.9941,synonym,gpt2-medium,0.7,last_token
Sulcacis nitidus,Ennearthron affinis,0.9937,synonym,gpt2-medium,0.7,last_token
Sulcacis nitidus,Entypus affinis,0.9984,synonym,gpt2-medium,0.7,last_token
Sulcacis nitidus,Sulcacis affinis,0.9987,synonym,gpt2-medium,0.7,last_token
Strigocis bicornis,Entypus bicornis,0.9997,synonym,gpt2-medium,0.7,last_token
Strigocis bicornis,Strigocis fronticornis,0.9994,synonym,gpt2-medium,0.7,last_token
Strigocis bilimeki,Cis bilimeka,0.9987,synonym,gpt2-medium,0.7,last_token
Strigocis opalescens,Strigocis davisi,0.997,synonym,gpt2-medium,0.7,last_token
Strigocis opalescens,Xestocis davisi,0.9946,synonym,gpt2-medium,0.7,last_token
Strigocis opalescens,Xestocis opalescens,0.9993,synonym,gpt2-medium,0.7,last_token
Wagaicis wagae,Wagaicis wagai,0.999,synonym,gpt2-medium,0.7,last_token
Malacocis brevicollis,Brachycis brevicollis,0.9999,synonym,gpt2-medium,0.7,last_token
Cis miles,Xestocis miles,0.9986,synonym,gpt2-medium,0.7,last_token
Cis krausi,Cis bicolor,0.9893,synonym,gpt2-medium,0.7,last_token
Cis krausi,Cis bimaculatus,0.9895,synonym,gpt2-medium,0.7,last_token
Cis krausi,Cis duryi,0.9987,synonym,gpt2-medium,0.7,last_token
Cis striatulus,Hadraule striatulus,0.999,synonym,gpt2-medium,0.7,last_token
Cis tetracentrum,Cis arizonae,0.9976,synonym,gpt2-medium,0.7,last_token
Cis maritimus,Xestocis maritimus,0.9994,synonym,gpt2-medium,0.7,last_token
Cis ephippiatus,Cis ephippium,0.9996,synonym,gpt2-medium,0.7,last_token
Cis ephippiatus,Cis moznettei,0.9965,synonym,gpt2-medium,0.7,last_token
Cis ephippiatus,Xestocis moznettei,0.9974,synonym,gpt2-medium,0.7,last_token
Cis castaneus,Cis alter,0.9779,synonym,gpt2-medium,0.7,last_token
Cis castaneus,Kateretes castaneus,0.9996,synonym,gpt2-medium,0.7,last_token
Cis tristis,Cis falli,0.9955,synonym,gpt2-medium,0.7,last_token
Cis tristis,Cis setulosus,0.9989,synonym,gpt2-medium,0.7,last_token
Cis festivus,Orthocis festivus,0.9997,synonym,gpt2-medium,0.7,last_token
Cis levettei,Cis levellei,0.9995,synonym,gpt2-medium,0.7,last_token
Cis levettei,Xestocis levettei,0.9986,synonym,gpt2-medium,0.7,last_token
Cis castlei,Xestocis castlei,0.9997,synonym,gpt2-medium,0.7,last_token
Octotemnus laevis,Octotemnus denudatus,0.9972,synonym,gpt2-medium,0.7,last_token
Hadraule elongatula,Ennearthron striata,0.9904,synonym,gpt2-medium,0.7,last_token
Hadraule elongatula,Hadraule coarctata,0.9964,synonym,gpt2-medium,0.7,last_token
Hadraule elongatula,Hadraule striata,0.9963,synonym,gpt2-medium,0.7,last_token
Hadraule elongatula,Pityocis coarctata,0.9954,synonym,gpt2-medium,0.7,last_token
Porculus dufaui,Cis dufaui,0.9994,synonym,gpt2-medium,0.7,last_token
Ceracis bicornis,Ennearthron bicornis,0.9955,synonym,gpt2-medium,0.7,last_token
Ceracis californicus,Ceracis coloradensis,0.9968,synonym,gpt2-medium,0.7,last_token
Ceracis californicus,Ceracis convergens,0.9936,synonym,gpt2-medium,0.7,last_token
Ceracis californicus,Ceracis discolor,0.9838,synonym,gpt2-medium,0.7,last_token
Ceracis californicus,Ceracis grossulus,0.9945,synonym,gpt2-medium,0.7,last_token
Ceracis californicus,Ceracis oregonus,0.9939,synonym,gpt2-medium,0.7,last_token
Ceracis californicus,Ennearthron californicus,0.9937,synonym,gpt2-medium,0.7,last_token
Ceracis californicus,Ennearthron coloradensis,0.9931,synonym,gpt2-medium,0.7,last_token
Ceracis californicus,Ennearthron convergens,0.9883,synonym,gpt2-medium,0.7,last_token
Ceracis californicus,Ennearthron discolor,0.9772,synonym,gpt2-medium,0.7,last_token
Ceracis californicus,Ennearthron grossulus,0.9909,synonym,gpt2-medium,0.7,last_token
Ceracis californicus,Ennearthron oregonus,0.9876,synonym,gpt2-medium,0.7,last_token
Ceracis castaneipennis,Ceracis ater,0.994,synonym,gpt2-medium,0.7,last_token
Ceracis castaneipennis,Ceracis rufipes,0.9983,synonym,gpt2-medium,0.7,last_token
Ceracis cornifer,Ceracis cylindricus,0.9624,synonym,gpt2-medium,0.7,last_token
Ceracis cornifer,Ceracis simplicicornis,0.9699,synonym,gpt2-medium,0.7,last_token
Ceracis cornifer,Ennearthron corniferum,0.9736,synonym,gpt2-medium,0.7,last_token
Ceracis cornifer,Ennearthron cylindricum,0.9709,synonym,gpt2-medium,0.7,last_token
Ceracis cornifer,Ennearthron simplicicorne,0.9832,synonym,gpt2-medium,0.7,last_token
Ceracis cucullatus,Ennearthron cucullatum,0.998,synonym,gpt2-medium,0.7,last_token
Ceracis curtus,Ceracis compactus,0.9993,synonym,gpt2-medium,0.7,last_token
Ceracis curtus,Ceracis obesus,0.999,synonym,gpt2-medium,0.7,last_token
Ceracis curtus,Cis obesus,0.997,synonym,gpt2-medium,0.7,last_token
Ceracis curtus,Ennearthron compactus,0.9981,synonym,gpt2-medium,0.7,last_token
Ceracis curtus,Ennearthron curtus,0.9972,synonym,gpt2-medium,0.7,last_token
Ceracis dixiensis,Octotemnus dixiensis,0.9991,synonym,gpt2-medium,0.7,last_token
Ceracis furcifer,Ennearthron furcifer,0.9967,synonym,gpt2-medium,0.7,last_token
Ceracis militaris,Ennearthron militaris,0.9975,synonym,gpt2-medium,0.7,last_token
Ceracis minutissimus,Cis minutissimus,0.999,synonym,gpt2-medium,0.7,last_token
Ceracis monocerus,Ceracis unicorne,0.99,synonym,gpt2-medium,0.7,last_token
Ceracis monocerus,Ceracis unicornis,0.9989,synonym,gpt2-medium,0.7,last_token
Ceracis monocerus,Ennearthron unicorne,0.9888,synonym,gpt2-medium,0.7,last_token
Ceracis monocerus,Ennearthron unicornis,0.9946,synonym,gpt2-medium,0.7,last_token
Ceracis multipunctatus,Ennearthron multipunctatus,0.998,synonym,gpt2-medium,0.7,last_token
Ceracis nigricans,Ennearthron nigricans,0.9958,synonym,gpt2-medium,0.7,last_token
Ceracis pullulus,Ennearthron pullulus,0.9958,synonym,gpt2-medium,0.7,last_token
Ceracis sallei,Ceracis sellei,0.9965,synonym,gpt2-medium,0.7,last_token
Ceracis sallei,Ennearthron sallei,0.9968,synonym,gpt2-medium,0.7,last_token
Ceracis singularis,Xestocis singularis,0.9997,synonym,gpt2-medium,0.7,last_token
Ceracis thoracicornis,Ceracis bifoveatus,0.9986,synonym,gpt2-medium,0.7,last_token
Ceracis thoracicornis,Ceracis laminifrons,0.9963,synonym,gpt2-medium,0.7,last_token
Ceracis thoracicornis,Ceracis mellyi,0.9905,synonym,gpt2-medium,0.7,last_token
Ceracis thoracicornis,Ceracis oblongus,0.9939,synonym,gpt2-medium,0.7,last_token
Ceracis thoracicornis,Ceracis piceus,0.9973,synonym,gpt2-medium,0.7,last_token
Ceracis thoracicornis,Ceracis pumicatus,0.9982,synonym,gpt2-medium,0.7,last_token
Ceracis thoracicornis,Ceracis thoracicinus,0.9996,synonym,gpt2-medium,0.7,last_token
Ceracis thoracicornis,Ceracis thoracicus,0.9997,synonym,gpt2-medium,0.7,last_token
Ceracis thoracicornis,Ceracis unicolor,0.9921,synonym,gpt2-medium,0.7,last_token
Ceracis thoracicornis,Cis thoracicornis,0.999,synonym,gpt2-medium,0.7,last_token
Ceracis thoracicornis,Ennearthron laminifrons,0.9966,synonym,gpt2-medium,0.7,last_token
Ceracis thoracicornis,Ennearthron mellyi,0.9884,synonym,gpt2-medium,0.7,last_token
Ceracis thoracicornis,Ennearthron oblongus,0.9951,synonym,gpt2-medium,0.7,last_token
Ceracis thoracicornis,Ennearthron piceus,0.9951,synonym,gpt2-medium,0.7,last_token
Ceracis thoracicornis,Ennearthron unicolor,0.9888,synonym,gpt2-medium,0.7,last_token
Rhopalodontus baudueri,Ropalodontus baudueri,0.9997,synonym,gpt2-medium,0.7,last_token
Rhopalodontus perforatus,Ropalodontus perforatus,0.9997,synonym,gpt2-medium,0.7,last_token
Rhopalodontus strandi,Ropalodontus strandi,0.9999,synonym,gpt2-medium,0.7,last_token
Orthocis coluber,Orthocis latifrons,0.9954,synonym,gpt2-medium,0.7,last_token
Orthocis linearis,Cis perrisi,0.9927,synonym,gpt2-medium,0.7,last_token
Orthocis linearis,Orthocis perrisi,0.9957,synonym,gpt2-medium,0.7,last_token
Orthocis punctatus,Cis punctatus,0.9996,synonym,gpt2-medium,0.7,last_token
Orthocis punctatus,Orthocis aterrimus,0.9982,synonym,gpt2-medium,0.7,last_token
Orthocis testaceofasciatus,Cis testaceofasciatus,0.9999,synonym,gpt2-medium,0.7,last_token
Orthocis transversatus,Ennearthron pallidus,0.9982,synonym,gpt2-medium,0.7,last_token
Orthocis transversatus,Ennearthron transversatus,0.9984,synonym,gpt2-medium,0.7,last_token
Orthocis transversatus,Orthocis pallidus,0.9991,synonym,gpt2-medium,0.7,last_token
Ennearthron cornutum,Cis cornutus,0.9992,synonym,gpt2-medium,0.7,last_token
Ennearthron cornutum,Ennearthron concinnum,0.9995,synonym,gpt2-medium,0.7,last_token
Ennearthron palmi,Cis filum,0.9904,synonym,gpt2-medium,0.7,last_token
Ennearthron palmi,Ennearthron filum,0.9931,synonym,gpt2-medium,0.7,last_token
Ennearthron spenceri,Plesiocis spenceri,0.9891,synonym,gpt2-medium,0.7,last_token
Xylographus corpulentus,Xylographus lemoulti,0.9837,synonym,gpt2-medium,0.7,last_token
Xylographus corpulentus,Xylographus richardi,0.9839,synonym,gpt2-medium,0.7,last_token
Xylographus subsinuatus,Xylographus rufescens,0.998,synonym,gpt2-medium,0.7,last_token
Ooides denudatus,Ooidellus denudatus,0.9996,synonym,gpt2-medium,0.7,last_token
Zherikhinia distylia,Nanophyes formosensis,0.9987,synonym,gpt2-medium,0.7,last_token
Zherikhinia distylia,Zherikhinia formosensis,0.999,synonym,gpt2-medium,0.7,last_token
Pseudorobitis axeli,Temnalysis axeli,0.9954,synonym,gpt2-medium,0.7,last_token
Pseudorobitis miwai,Nanophyes miwai,0.9984,synonym,gpt2-medium,0.7,last_token
Nanomimus hemisphaericus,Nanophyes hemisphaericus,0.9999,synonym,gpt2-medium,0.7,last_token
Kantohia taiwana,Shiva taiwanus,0.9983,synonym,gpt2-medium,0.7,last_token
Dieckmanniellus chevrieri,Dieckmanniellus helveticus,0.9969,synonym,gpt2-medium,0.7,last_token
Dieckmanniellus gracilis,Dieckmaniellus gracilis,0.9998,synonym,gpt2-medium,0.7,last_token
Dieckmanniellus gracilis,Nanodes gracilis,0.9995,synonym,gpt2-medium,0.7,last_token
Chibizo formosensis,Nanophyes basilineatus,0.9994,synonym,gpt2-medium,0.7,last_token
