species,oldSpeciesCanonicalName,similarity,prediction
Idiomerus latissimus,Necromera latissima,0.8815,synonym
Idiomerus longicornis,Necromera longicornis,0.8987,synonym
Idiomerus musculus,Necromera muscula,0.8326,synonym
Leptocnemus longus,Necromera longa,0.792,synonym
Baissophytum amplus,Baissopsis amplus,0.9714,synonym
Dolichocis laricinus,Ennearthron laricinum,0.8982,synonym
Sulcacis bidentulus,Cis alpinus,0.7361,synonym
Sulcacis curtulus,Cis criddlei,0.8754,synonym
Sulcacis curtulus,Cis cylindricus,0.8163,synonym
Sulcacis curtulus,Cis montana,0.8773,synonym
Sulcacis curtulus,Cis sorror,0.6506,not synonym
Sulcacis curtulus,Sulcacis criddlei,0.8386,synonym
Sulcacis curtulus,Sulcacis cylindricus,0.9597,synonym
Sulcacis curtulus,Sulcacis montana,0.8934,synonym
Sulcacis curtulus,Sulcacis niger,0.9337,synonym
Sulcacis curtulus,Sulcacis sorror,0.816,synonym
Sulcacis fronticornis,Cis fronticornis,0.8658,synonym
Sulcacis fronticornis,Rhopalodontus fronticornis,0.7809,synonym
Sulcacis nitidus,Cis nitidus,0.8944,synonym
Sulcacis nitidus,Ennearthron affine,0.7418,synonym
Sulcacis nitidus,Ennearthron affinis,0.8625,synonym
Sulcacis nitidus,Entypus affinis,0.851,synonym
Sulcacis nitidus,Sulcacis affinis,0.8897,synonym
Strigocis bicornis,Entypus bicornis,0.9452,synonym
Strigocis bicornis,Strigocis fronticornis,0.9083,synonym
Strigocis bilimeki,Cis bilimeka,0.6037,not synonym
Strigocis opalescens,Strigocis davisi,0.8234,synonym
Strigocis opalescens,Xestocis davisi,0.7816,synonym
Strigocis opalescens,Xestocis opalescens,0.9086,synonym
Wagaicis wagae,Wagaicis wagai,0.9535,synonym
Malacocis brevicollis,Brachycis brevicollis,0.8853,synonym
Cis miles,Xestocis miles,0.8777,synonym
Cis krausi,Cis bicolor,0.7601,synonym
Cis krausi,Cis bimaculatus,0.7129,synonym
Cis krausi,Cis duryi,0.8799,synonym
Cis striatulus,Hadraule striatulus,0.9333,synonym
Cis tetracentrum,Cis arizonae,0.8877,synonym
Cis maritimus,Xestocis maritimus,0.9222,synonym
Cis ephippiatus,Cis ephippium,0.9115,synonym
Cis ephippiatus,Cis moznettei,0.671,not synonym
Cis ephippiatus,Xestocis moznettei,0.733,synonym
Cis castaneus,Cis alter,0.7528,synonym
Cis castaneus,Kateretes castaneus,0.8589,synonym
Cis tristis,Cis falli,0.8763,synonym
Cis tristis,Cis setulosus,0.8482,synonym
Cis festivus,Orthocis festivus,0.9136,synonym
Cis levettei,Cis levellei,0.8455,synonym
Cis levettei,Xestocis levettei,0.8768,synonym
Cis castlei,Xestocis castlei,0.9241,synonym
Octotemnus laevis,Octotemnus denudatus,0.9622,synonym
Hadraule elongatula,Ennearthron striata,0.8803,synonym
Hadraule elongatula,Hadraule coarctata,0.932,synonym
Hadraule elongatula,Hadraule striata,0.9174,synonym
Hadraule elongatula,Pityocis coarctata,0.9101,synonym
Porculus dufaui,Cis dufaui,0.884,synonym
Ceracis bicornis,Ennearthron bicornis,0.9055,synonym
Ceracis californicus,Ceracis coloradensis,0.8837,synonym
Ceracis californicus,Ceracis convergens,0.8916,synonym
Ceracis californicus,Ceracis discolor,0.8564,synonym
Ceracis californicus,Ceracis grossulus,0.8726,synonym
Ceracis californicus,Ceracis oregonus,0.8886,synonym
Ceracis californicus,Ennearthron californicus,0.9329,synonym
Ceracis californicus,Ennearthron coloradensis,0.8649,synonym
Ceracis californicus,Ennearthron convergens,0.8431,synonym
Ceracis californicus,Ennearthron discolor,0.8454,synonym
Ceracis californicus,Ennearthron grossulus,0.8412,synonym
Ceracis californicus,Ennearthron oregonus,0.8745,synonym
Ceracis castaneipennis,Ceracis ater,0.6202,not synonym
Ceracis castaneipennis,Ceracis rufipes,0.816,synonym
Ceracis cornifer,Ceracis cylindricus,0.8705,synonym
Ceracis cornifer,Ceracis simplicicornis,0.8573,synonym
Ceracis cornifer,Ennearthron corniferum,0.8801,synonym
Ceracis cornifer,Ennearthron cylindricum,0.8466,synonym
Ceracis cornifer,Ennearthron simplicicorne,0.7372,synonym
Ceracis cucullatus,Ennearthron cucullatum,0.9132,synonym
Ceracis curtus,Ceracis compactus,0.9282,synonym
Ceracis curtus,Ceracis obesus,0.9135,synonym
Ceracis curtus,Cis obesus,0.8344,synonym
Ceracis curtus,Ennearthron compactus,0.8668,synonym
Ceracis curtus,Ennearthron curtus,0.8866,synonym
Ceracis dixiensis,Octotemnus dixiensis,0.8398,synonym
Ceracis furcifer,Ennearthron furcifer,0.9036,synonym
Ceracis militaris,Ennearthron militaris,0.8816,synonym
Ceracis minutissimus,Cis minutissimus,0.8979,synonym
Ceracis monocerus,Ceracis unicorne,0.8148,synonym
Ceracis monocerus,Ceracis unicornis,0.9168,synonym
Ceracis monocerus,Ennearthron unicorne,0.8734,synonym
Ceracis monocerus,Ennearthron unicornis,0.9131,synonym
Ceracis multipunctatus,Ennearthron multipunctatus,0.9361,synonym
Ceracis nigricans,Ennearthron nigricans,0.9215,synonym
Ceracis pullulus,Ennearthron pullulus,0.8623,synonym
Ceracis sallei,Ceracis sellei,0.915,synonym
Ceracis sallei,Ennearthron sallei,0.8602,synonym
Ceracis singularis,Xestocis singularis,0.9199,synonym
Ceracis thoracicornis,Ceracis bifoveatus,0.9719,synonym
Ceracis thoracicornis,Ceracis laminifrons,0.9231,synonym
Ceracis thoracicornis,Ceracis mellyi,0.9473,synonym
Ceracis thoracicornis,Ceracis oblongus,0.9085,synonym
Ceracis thoracicornis,Ceracis piceus,0.9076,synonym
Ceracis thoracicornis,Ceracis pumicatus,0.9651,synonym
Ceracis thoracicornis,Ceracis thoracicinus,0.9605,synonym
Ceracis thoracicornis,Ceracis thoracicus,0.9655,synonym
Ceracis thoracicornis,Ceracis unicolor,0.9186,synonym
Ceracis thoracicornis,Cis thoracicornis,0.8779,synonym
Ceracis thoracicornis,Ennearthron laminifrons,0.8315,synonym
Ceracis thoracicornis,Ennearthron mellyi,0.8776,synonym
Ceracis thoracicornis,Ennearthron oblongus,0.8979,synonym
Ceracis thoracicornis,Ennearthron piceus,0.8812,synonym
Ceracis thoracicornis,Ennearthron unicolor,0.8926,synonym
Rhopalodontus baudueri,Ropalodontus baudueri,0.9797,synonym
Rhopalodontus perforatus,Ropalodontus perforatus,0.9717,synonym
Rhopalodontus strandi,Ropalodontus strandi,0.9656,synonym
Orthocis coluber,Orthocis latifrons,0.757,synonym
Orthocis linearis,Cis perrisi,0.8318,synonym
Orthocis linearis,Orthocis perrisi,0.8922,synonym
Orthocis punctatus,Cis punctatus,0.954,synonym
Orthocis punctatus,Orthocis aterrimus,0.8268,synonym
Orthocis testaceofasciatus,Cis testaceofasciatus,0.9247,synonym
Orthocis transversatus,Ennearthron pallidus,0.8186,synonym
Orthocis transversatus,Ennearthron transversatus,0.9304,synonym
Orthocis transversatus,Orthocis pallidus,0.889,synonym
Ennearthron cornutum,Cis cornutus,0.8526,synonym
Ennearthron cornutum,Ennearthron concinnum,0.9528,synonym
Ennearthron palmi,Cis filum,0.812,synonym
Ennearthron palmi,Ennearthron filum,0.9358,synonym
Ennearthron spenceri,Plesiocis spenceri,0.8704,synonym
Xylographus corpulentus,Xylographus lemoulti,0.886,synonym
Xylographus corpulentus,Xylographus richardi,0.9473,synonym
Xylographus subsinuatus,Xylographus rufescens,0.9708,synonym
Ooides denudatus,Ooidellus denudatus,0.946,synonym
Zherikhinia distylia,Nanophyes formosensis,0.8019,synonym
Zherikhinia distylia,Zherikhinia formosensis,0.8265,synonym
Pseudorobitis axeli,Temnalysis axeli,0.8349,synonym
Pseudorobitis miwai,Nanophyes miwai,0.9089,synonym
Nanomimus hemisphaericus,Nanophyes hemisphaericus,0.9346,synonym
Kantohia taiwana,Shiva taiwanus,0.9238,synonym
Dieckmanniellus chevrieri,Dieckmanniellus helveticus,0.9151,synonym
Dieckmanniellus gracilis,Dieckmaniellus gracilis,0.9942,synonym
Dieckmanniellus gracilis,Nanodes gracilis,0.9093,synonym
Chibizo formosensis,Nanophyes basilineatus,0.8327,synonym
