species,oldSpeciesCanonicalName,similarity,prediction,label,model,threshold
Circeida parapuncta,Onebala crypsizyga,0.2105,not synonym,not synonym,Levenshtein,0.7
Argyresthia ivella,Oecophora andereggiella,0.2174,not synonym,synonym,Levenshtein,0.7
Icteritilema nyassana,Phryganopsis nyassana,0.4286,not synonym,synonym,Levenshtein,0.7
Chalcocelis albiguttatus,Doratifera nephrochrysa,0.0833,not synonym,synonym,Levenshtein,0.7
Agnoea colurnella,Borkhausenia colurnella,0.5652,not synonym,synonym,Levenshtein,0.7
Nordstromia bicostata,Albara bicostata,0.5714,not synonym,synonym,Levenshtein,0.7
Ctenolita auribasalis,Zigera suvarnadivipae,0.0952,not synonym,not synonym,Levenshtein,0.7
Kurama galbanus,Macrocneme chiriquicola,0.1739,not synonym,not synonym,Levenshtein,0.7
Aergina liharis,Parasa liharis,0.6667,not synonym,synonym,Levenshtein,0.7
Jana gracilis,Gymnelia odyneroides,0.25,not synonym,not synonym,Levenshtein,0.7
Jana tantalus,Tantaliana crepax,0.2941,not synonym,synonym,Levenshtein,0.7
Palaeomystella chalcopeda,Syntomactis macrostola,0.24,not synonym,not synonym,Levenshtein,0.7
Aergina liharis,Eupterote ignavus,0.2353,not synonym,not synonym,Levenshtein,0.7
Diurnea lipsiella,Noctua bicolorata,0.1765,not synonym,not synonym,Levenshtein,0.7
Mimopsestis honei,Syntomactis fumea,0.2941,not synonym,not synonym,Levenshtein,0.7
Celiptera levina,Celiptera aurinia,0.7647,synonym,synonym,Levenshtein,0.7
Creatonotos transiens,Amphissa vacillans,0.1905,not synonym,synonym,Levenshtein,0.7
Ochropacha duplaris,Noctua bicolor,0.2105,not synonym,synonym,Levenshtein,0.7
Eukarschia mitis,Gephyrophora mitis,0.5556,not synonym,synonym,Levenshtein,0.7
Oreta jaspidea,Phiala ochritincta,0.2222,not synonym,not synonym,Levenshtein,0.7
Parapluda incincta,Apluda incincta,0.8333,synonym,synonym,Levenshtein,0.7
Dasystoma salicella,Eudeilinia biseriata,0.15,not synonym,not synonym,Levenshtein,0.7
Acantharctia latifusca,Cotana turneri,0.2727,not synonym,not synonym,Levenshtein,0.7
Cyme quadrilineata,Phiala ochrescens,0.0556,not synonym,not synonym,Levenshtein,0.7
Melinaria campagnei,Oecophora fissulella,0.15,not synonym,not synonym,Levenshtein,0.7
Lichenaula afflictella,Cryptolechia afflictella,0.5417,not synonym,synonym,Levenshtein,0.7
Heringocena andobo,Lepidolutzia dukinfieldia,0.2,not synonym,not synonym,Levenshtein,0.7
Argodrepana verticata,Peridrepana verticata,0.8095,synonym,synonym,Levenshtein,0.7
Comana testacea,Lithacodes laticlavia,0.2381,not synonym,not synonym,Levenshtein,0.7
Magos xanthopus,Ptochoryctis rosaria,0.1,not synonym,not synonym,Levenshtein,0.7
Ochropacha duplaris,Cymatophora clara,0.3158,not synonym,synonym,Levenshtein,0.7
Hibrildes crawshayi,Hibrildes fuscata,0.6316,not synonym,synonym,Levenshtein,0.7
Macrocilix mysticata,Macrocilix magna,0.65,not synonym,synonym,Levenshtein,0.7
Ctenolita epargyra,Teinorhyncha cerdo,0.2222,not synonym,synonym,Levenshtein,0.7
Cyligramma disturbens,Cyligramma consiliatrix,0.5217,not synonym,synonym,Levenshtein,0.7
Adites unilinea,Miltochrista unilinea,0.5238,not synonym,synonym,Levenshtein,0.7
Macrocneme chrysitis,Syntomactis tephronota,0.1818,not synonym,not synonym,Levenshtein,0.7
Phiala costipuncta,Phiala angola,0.4444,not synonym,synonym,Levenshtein,0.7
Callindra similis,Psilosceles dichochroa,0.1364,not synonym,not synonym,Levenshtein,0.7
Adites bizonoides,Lyclene bizonoides,0.6667,not synonym,synonym,Levenshtein,0.7
Amphitorna castanea,Oreta castanea,0.5789,not synonym,synonym,Levenshtein,0.7
Hibrildes norax,Nordstromia pallidina,0.0952,not synonym,not synonym,Levenshtein,0.7
Adites mindanensis,Spilosoma circumpunctata,0.2083,not synonym,not synonym,Levenshtein,0.7
Palirisa mosoensis,Stenoglene gregorii,0.1053,not synonym,not synonym,Levenshtein,0.7
Tridrepana albonotata,Psiloreta pavaca,0.2857,not synonym,not synonym,Levenshtein,0.7
Neidalia bifasciata,Eupsodosoma bifasciata,0.5909,not synonym,synonym,Levenshtein,0.7
Cyme avernalis,Asura isabellina,0.1875,not synonym,synonym,Levenshtein,0.7
Gogana bornormalis,Asura quadrifasciata,0.15,not synonym,not synonym,Levenshtein,0.7
Liparistis monosema,Lichenaula monosema,0.5789,not synonym,synonym,Levenshtein,0.7
Eupterote undata,Bleptina grimsgaardi,0.15,not synonym,not synonym,Levenshtein,0.7
Nanodacna logistica,Colonophora logistica,0.619,not synonym,synonym,Levenshtein,0.7
Phiala costipuncta,Phiala inferiora,0.4444,not synonym,synonym,Levenshtein,0.7
Cyme metascota,Bombycia griseor,0.125,not synonym,not synonym,Levenshtein,0.7
Barsaurea phaeoxanthia,Miltochrista phaeoxantha,0.5417,not synonym,synonym,Levenshtein,0.7
Phiala costipuncta,Oreta rufibrunnea,0.2778,not synonym,not synonym,Levenshtein,0.7
Ochropacha duplaris,Stenoglene evanescens,0.1429,not synonym,not synonym,Levenshtein,0.7
Amphitorna submontana,Apluda schaliphlebia,0.1429,not synonym,not synonym,Levenshtein,0.7
Liocrops semiprotrusa,Thosea recta,0.2381,not synonym,not synonym,Levenshtein,0.7
Soteira vadimi,Parasa symphonistis,0.1579,not synonym,not synonym,Levenshtein,0.7
Soteira altilis,Parasa altilis,0.6,not synonym,synonym,Levenshtein,0.7
Ditrigona inconspicua,Teldenia inconspicua,0.6667,not synonym,synonym,Levenshtein,0.7
Agnoea lavandulae,Borkhausenia pulverisquamis,0.1852,not synonym,synonym,Levenshtein,0.7
Eloasa calida,Lethocephala eremospila,0.3043,not synonym,synonym,Levenshtein,0.7
Achlya flavicornis,Eupterote petosiris,0.1579,not synonym,not synonym,Levenshtein,0.7
Cophomantella homogramma,Nordstromia amabilis,0.1667,not synonym,not synonym,Levenshtein,0.7
Urogonodes colorata,Urogonodes perrufa,0.6842,not synonym,synonym,Levenshtein,0.7
Cabardites limbata,Xylorycta stercorata,0.3,not synonym,not synonym,Levenshtein,0.7
Falcaria lacertinaria,Bombyx lacertula,0.381,not synonym,synonym,Levenshtein,0.7
Argyresthia ivella,Eupterote dissimilis,0.2,not synonym,not synonym,Levenshtein,0.7
Metathrinca rosaria,Dysschema sylvia,0.2632,not synonym,not synonym,Levenshtein,0.7
Plectophila discalis,Lichenaula inscripta,0.3,not synonym,synonym,Levenshtein,0.7
Celiptera remigioides,Celiptera magnifica,0.619,not synonym,synonym,Levenshtein,0.7
Eupterote mollifera,Asura crocota,0.1579,not synonym,not synonym,Levenshtein,0.7
Euclea delphinii,Limacodes quercicola,0.2,not synonym,synonym,Levenshtein,0.7
Antapistis leucospila,Euagra auxo,0.1905,not synonym,not synonym,Levenshtein,0.7
Brachybelistis pentachroa,Xylorycta pentachroa,0.52,not synonym,synonym,Levenshtein,0.7
Aergina paeera,Agriophara encryphias,0.2857,not synonym,not synonym,Levenshtein,0.7
Palirisa mosoensis,Palirisa chocolatina,0.6,not synonym,synonym,Levenshtein,0.7
Avatara interrupta,Thosea interrupta,0.6667,not synonym,synonym,Levenshtein,0.7
Lichenaula lichenea,Lichenaula lichenaea,0.95,synonym,synonym,Levenshtein,0.7
Oreta extensa,Oreta adona,0.6154,not synonym,synonym,Levenshtein,0.7
Plectophila discalis,Euclea bifida,0.2,not synonym,not synonym,Levenshtein,0.7
Heterochyta aprepta,Miresa fuscicostalis,0.05,not synonym,not synonym,Levenshtein,0.7
Nemacerota alternata,Auzatella pentesticha,0.2857,not synonym,not synonym,Levenshtein,0.7
Stephensia cedronellae,Toelgyfaloca circumdata,0.1739,not synonym,not synonym,Levenshtein,0.7
Plectophila thiophanes,Xylorycta thiophanes,0.5909,not synonym,synonym,Levenshtein,0.7
Mursa phtisialis,Euchera cunicaria,0.2941,not synonym,not synonym,Levenshtein,0.7
Falcaria lacertinaria,Drepana lacertinaria,0.7143,synonym,synonym,Levenshtein,0.7
Narosoideus vulpina,Telecrates streptogramma,0.1667,not synonym,not synonym,Levenshtein,0.7
Cophomantella cyclopodes,Onebala cyclopodes,0.625,not synonym,synonym,Levenshtein,0.7
Achlya flavicornis,Procometis orthosema,0.1,not synonym,not synonym,Levenshtein,0.7
Palirisa mosoensis,Xylina mirabilis,0.3889,not synonym,not synonym,Levenshtein,0.7
Chrysoclista linneela,Choerotricha glandulosa,0.3913,not synonym,not synonym,Levenshtein,0.7
Cophomantella cyclopodes,Diurnea novembris,0.2083,not synonym,not synonym,Levenshtein,0.7
Janomima dannfelti,Arugisa watsoni,0.3333,not synonym,not synonym,Levenshtein,0.7
Choerotricha atrosquama,Choerotricha enunciativoides,0.5,not synonym,synonym,Levenshtein,0.7
Plectophila discalis,Scieropepla typicola,0.3,not synonym,not synonym,Levenshtein,0.7
Diaphora mendica,Spilosoma syra,0.25,not synonym,synonym,Levenshtein,0.7
Stephensia cedronellae,Lichenaula eucrines,0.3182,not synonym,not synonym,Levenshtein,0.7
Aergina mirza,Parasa mirza,0.6154,not synonym,synonym,Levenshtein,0.7
Ditrigona micronioides,Auzatella micronioides,0.6364,not synonym,synonym,Levenshtein,0.7
Trachydora tephronota,Syntomactis tephronota,0.5,not synonym,synonym,Levenshtein,0.7
Eupterote flavicollis,Eupterote adolphaei,0.5238,not synonym,synonym,Levenshtein,0.7
Hypsidia australica,Clerarcha procellosa,0.2,not synonym,not synonym,Levenshtein,0.7
Macrocneme adonis,Onebala bythota,0.0588,not synonym,not synonym,Levenshtein,0.7
Vipsania melanois,Pseudovipsania melanois,0.7391,synonym,synonym,Levenshtein,0.7
Jana tantalus,Bethura minax,0.0769,not synonym,not synonym,Levenshtein,0.7
Donuca spectabilis,Oreta hypocalla,0.3333,not synonym,not synonym,Levenshtein,0.7
Eupterote hibisci,Eupterote petosiris,0.6316,not synonym,synonym,Levenshtein,0.7
Stenoglene obtusus,Stenoglene aequidistans,0.6087,not synonym,synonym,Levenshtein,0.7
Alphaea imbuta,Phiala incurva,0.4286,not synonym,not synonym,Levenshtein,0.7
Epicampoptera marantica,Eupterote acinea,0.3478,not synonym,not synonym,Levenshtein,0.7
Telecrates laetiorella,Ptochoryctis illuvialis,0.2609,not synonym,not synonym,Levenshtein,0.7
Chrysoclista lathamella,Antaeotricha ovata,0.2609,not synonym,not synonym,Levenshtein,0.7
Metathrinca intacta,Gymnelia scintillans,0.2,not synonym,not synonym,Levenshtein,0.7
Thyatira batis,Thyatira derosea,0.625,not synonym,synonym,Levenshtein,0.7
Lophotavia incivilis,Leucanopsis fassli,0.2,not synonym,not synonym,Levenshtein,0.7
Melinaria campagnei,Parasa xueshana,0.2105,not synonym,not synonym,Levenshtein,0.7
Thymiatris cephalochra,Lyclene bizonoides,0.1364,not synonym,not synonym,Levenshtein,0.7
Chrysoclista lathamella,Chrysoclista bimaculella,0.7083,synonym,synonym,Levenshtein,0.7
Cyme reticulata,Lyclene intrita,0.3333,not synonym,synonym,Levenshtein,0.7
Achrocerides theorini,Lasiocampa theorini,0.5238,not synonym,synonym,Levenshtein,0.7
Cyligramma disturbens,Cyligramma raboudou,0.5714,not synonym,synonym,Levenshtein,0.7
Comana albibasis,Asura hilaris,0.375,not synonym,not synonym,Levenshtein,0.7
Leucophobetron argyrorrhaea,Euproctis argyrorrhaea,0.6667,not synonym,synonym,Levenshtein,0.7
Tridrepana examplata,Iridrepana examplata,0.95,synonym,synonym,Levenshtein,0.7
Alphaea imbuta,Estigmene normalis,0.1667,not synonym,synonym,Levenshtein,0.7
Eupterote mollifera,Eupterote rectifascia,0.619,not synonym,synonym,Levenshtein,0.7
Euthyatira semicircularis,Bombycia semicircularis,0.72,synonym,synonym,Levenshtein,0.7
Dysschema neda,Dysschema nubila,0.75,synonym,synonym,Levenshtein,0.7
Euclystis isoa,Euclystis epulea,0.6875,not synonym,synonym,Levenshtein,0.7
Cyme sexualis,Asura sexualis,0.6429,not synonym,synonym,Levenshtein,0.7
Cyme triangularis,Odites pudica,0.1176,not synonym,not synonym,Levenshtein,0.7
Cyme biagi,Lithacodes divergens,0.25,not synonym,not synonym,Levenshtein,0.7
Euclystis polyoperas,Iragoides lineofusca,0.15,not synonym,not synonym,Levenshtein,0.7
Ditrigona inconspicua,Argyresthia purpurascentella,0.1786,not synonym,not synonym,Levenshtein,0.7
Sangatissa subcurvifera,Sangatissa triseriata,0.6087,not synonym,synonym,Levenshtein,0.7
Miniodes phaeosoma,Miniodes phaeosomella,0.8571,synonym,synonym,Levenshtein,0.7
Negera bimaculata,Spilobasis circumdata,0.3333,not synonym,not synonym,Levenshtein,0.7
Cyme quadrilineata,Miltochrista simulans,0.1429,not synonym,synonym,Levenshtein,0.7
Mimopsestis pseudomaculata,Asphalia rosea,0.1923,not synonym,not synonym,Levenshtein,0.7
Nordstromia vira,Pogonias heliotricha,0.25,not synonym,not synonym,Levenshtein,0.7
Heringocena andobo,Mimoreta horishana,0.1111,not synonym,not synonym,Levenshtein,0.7
Ochropacha duplaris,Cryptolechia luteotactella,0.2692,not synonym,not synonym,Levenshtein,0.7
