species,oldSpeciesCanonicalName,similarity,prediction,label,model,threshold
Ctesias serra,Tiresias serra,0.7857,synonym,synonym,Levenshtein,0.7
Dieckmanniellus gracilis,Nanodes gracilis,0.5417,not synonym,synonym,Levenshtein,0.7
Attagenus brunneus,Attagenus elongatulus,0.619,not synonym,synonym,Levenshtein,0.7
Xylographus corpulentus,Trachypachus alticola,0.1739,not synonym,not synonym,Levenshtein,0.7
Octotemnus laevis,Octotemnus denudatus,0.6,not synonym,synonym,Levenshtein,0.7
Meloe rugosus,Meloe punctatus,0.6,not synonym,synonym,Levenshtein,0.7
Dolichocera tessellata,Dolichocera tessellatus,0.913,synonym,synonym,Levenshtein,0.7
Idiomerus inflatus,Necromera inflata,0.5556,not synonym,synonym,Levenshtein,0.7
Sulcacis curtulus,Cis criddlei,0.3529,not synonym,synonym,Levenshtein,0.7
Necronectulus avus,Necronetulus avus,0.9444,synonym,synonym,Levenshtein,0.7
Sulcacis fronticornis,Cis fronticornis,0.7619,synonym,synonym,Levenshtein,0.7
Attagenus brunneus,Ennearthron convergens,0.2273,not synonym,not synonym,Levenshtein,0.7
Labrocerus similaris,Argocerus similaris,0.85,synonym,synonym,Levenshtein,0.7
Ceracis curtus,Ceracis compactus,0.7059,synonym,synonym,Levenshtein,0.7
Sulcacis nitidus,Ennearthron affinis,0.2105,not synonym,synonym,Levenshtein,0.7
Labrocerus depressus,Eocerus depressus,0.8,synonym,synonym,Levenshtein,0.7
Systolosoma breve,Meloe puncticollis,0.0,not synonym,not synonym,Levenshtein,0.7
Thorictodes heydeni,Thorictodes karanisensis,0.625,not synonym,synonym,Levenshtein,0.7
Cybocephalus amplus,Dissia ampla,0.3158,not synonym,synonym,Levenshtein,0.7
Sulcacis nitidus,Sulcacis affinis,0.6875,not synonym,synonym,Levenshtein,0.7
Heterocerus maritimus,Heterocerus britannicus,0.7391,synonym,synonym,Levenshtein,0.7
Trachypachus gibbsii,Trachypachus californicus,0.6,not synonym,synonym,Levenshtein,0.7
Heterocerus crinitus,Theticephalus mesopatamicus,0.3333,not synonym,not synonym,Levenshtein,0.7
Sulcacis curtulus,Cis alpinus,0.3529,not synonym,not synonym,Levenshtein,0.7
Ceracis thoracicornis,Ceracis ater,0.4762,not synonym,not synonym,Levenshtein,0.7
Ceracis thoracicornis,Ennearthron laminifrons,0.2609,not synonym,synonym,Levenshtein,0.7
Ceracis minutissimus,Nanophyes basilineatus,0.2273,not synonym,not synonym,Levenshtein,0.7
Idiomerus intermedius,Ennearthron oregonus,0.2381,not synonym,not synonym,Levenshtein,0.7
Sefrania bleusei,Heterocerus britannicus,0.2174,not synonym,not synonym,Levenshtein,0.7
Mycterus quadricollis,Meloe autumnalis,0.3333,not synonym,not synonym,Levenshtein,0.7
Cis krausi,Strongulites stygicus,0.1905,not synonym,not synonym,Levenshtein,0.7
Octotemnus laevis,Cis punctatus,0.2353,not synonym,not synonym,Levenshtein,0.7
Ceracis californicus,Attagenus gloriosae,0.2,not synonym,not synonym,Levenshtein,0.7
Ceracis californicus,Trachypachus transversicollis,0.3448,not synonym,not synonym,Levenshtein,0.7
Attagenus australis,Systolosoma bilunulatum,0.1739,not synonym,not synonym,Levenshtein,0.7
Cis krausi,Cis bicolor,0.3636,not synonym,synonym,Levenshtein,0.7
Ceracis monocerus,Dieckmanniellus helveticus,0.2692,not synonym,not synonym,Levenshtein,0.7
Cis ephippiatus,Xestocis moznettei,0.1667,not synonym,synonym,Levenshtein,0.7
Orthocis transversatus,Anthribus moussoni,0.2273,not synonym,not synonym,Levenshtein,0.7
Eurymeloe mediterraneus,Meloe mediterraneus,0.8261,synonym,synonym,Levenshtein,0.7
Theticephalus mesopotamicus,Cybocephalus aurocupreus,0.4444,not synonym,not synonym,Levenshtein,0.7
Attagenus fasciatus,Cybocephalus mesopatamicus,0.3462,not synonym,not synonym,Levenshtein,0.7
Idiomerus intermedius,Necromera intermedia,0.619,not synonym,synonym,Levenshtein,0.7
Cis ephippiatus,Cis moznettei,0.3333,not synonym,synonym,Levenshtein,0.7
Anthribus nebulosus,Brachytarsus kusteri,0.2,not synonym,synonym,Levenshtein,0.7
Ennearthron palmi,Dolichocera hermandi,0.15,not synonym,not synonym,Levenshtein,0.7
Ceracis californicus,Cis dufaui,0.3,not synonym,not synonym,Levenshtein,0.7
Sulcacis curtulus,Ceracis pumicatus,0.4118,not synonym,not synonym,Levenshtein,0.7
Cis krausi,Cis duryi,0.5,not synonym,synonym,Levenshtein,0.7
Epicerastes exstans,Trachypachus oregonus,0.2857,not synonym,not synonym,Levenshtein,0.7
Thorictodes heydeni,Attagenus 4-maculatus,0.0476,not synonym,not synonym,Levenshtein,0.7
Systolosoma breve,Ennearthron unicornis,0.1429,not synonym,not synonym,Levenshtein,0.7
Leptocnemus longus,Protaedus fontaltus,0.4211,not synonym,not synonym,Levenshtein,0.7
Ceracis thoracicornis,Ceracis unicolor,0.5238,not synonym,synonym,Levenshtein,0.7
Baissophytum amplus,Attagenus 3-fasciatus,0.1429,not synonym,not synonym,Levenshtein,0.7
Labrocerus similaris,Ennearthron striata,0.2,not synonym,not synonym,Levenshtein,0.7
Sulcacis nitidus,Cis duryi,0.25,not synonym,not synonym,Levenshtein,0.7
Labrocerus similaris,Argocerus subguttatus,0.4762,not synonym,synonym,Levenshtein,0.7
Ceracis monocerus,Toksunius chinaticus,0.3,not synonym,not synonym,Levenshtein,0.7
Pacicephalus gressitti,Cybocephalus gressitti,0.8182,synonym,synonym,Levenshtein,0.7
Ceracis thoracicornis,Ceracis mellyi,0.4286,not synonym,synonym,Levenshtein,0.7
Orthocis linearis,Cretomegatoma atypica,0.1905,not synonym,not synonym,Levenshtein,0.7
Hycleus phaleratus,Petrodromeus asiaticus,0.2727,not synonym,not synonym,Levenshtein,0.7
Pseudorobitis axeli,Temnalysis axeli,0.4737,not synonym,synonym,Levenshtein,0.7
Sulcacis nitidus,Trogoderma niger,0.0625,not synonym,not synonym,Levenshtein,0.7
Strongylites stygius,Ceracis obesus,0.3,not synonym,not synonym,Levenshtein,0.7
Ceracis monocerus,Ennearthron unicornis,0.2857,not synonym,synonym,Levenshtein,0.7
Attagenus fasciatus,Attagenus anulifer,0.5789,not synonym,synonym,Levenshtein,0.7
Ceracis furcifer,Trogoderma tricolor,0.1579,not synonym,not synonym,Levenshtein,0.7
Heterocerus fenestratus,Heterocerus pulchellus,0.6087,not synonym,synonym,Levenshtein,0.7
Octotemnus laevis,Anthribus tesselatus,0.25,not synonym,not synonym,Levenshtein,0.7
Heterocerus fenestratus,Ennearthron affinis,0.1739,not synonym,not synonym,Levenshtein,0.7
Ceracis californicus,Ennearthron coloradensis,0.25,not synonym,synonym,Levenshtein,0.7
Ceracis sallei,Xestocis levettei,0.4118,not synonym,not synonym,Levenshtein,0.7
Sulcacis nitidus,Entypus affinis,0.25,not synonym,synonym,Levenshtein,0.7
Deropygus chaerilus,Deropygus cherilus,0.9474,synonym,synonym,Levenshtein,0.7
Attagenus fasciatus,Meloe rugulosus,0.2105,not synonym,not synonym,Levenshtein,0.7
Cis krausi,Trachypachus laticollis,0.1739,not synonym,not synonym,Levenshtein,0.7
Attagenus unicolor,Attagenus megatoma,0.5556,not synonym,synonym,Levenshtein,0.7
Hucus numatus,Hucus numatus,1.0,synonym,synonym,Levenshtein,0.7
Ceracis nigricans,Ennearthron nigricans,0.5714,not synonym,synonym,Levenshtein,0.7
Orthocis testaceofasciatus,Ceracis discolor,0.2692,not synonym,not synonym,Levenshtein,0.7
Cis tristis,Cis setulosus,0.4615,not synonym,synonym,Levenshtein,0.7
Amedissia argentinus,Pycnocephalus argentinus,0.5,not synonym,synonym,Levenshtein,0.7
Rhopalodontus strandi,Ropalodontus strandi,0.9524,synonym,synonym,Levenshtein,0.7
Attagenus brunneus,Attagenus marginicollis,0.5652,not synonym,synonym,Levenshtein,0.7
Labrocerus setosus,Labrocerus pallipes,0.6316,not synonym,synonym,Levenshtein,0.7
Thaumaglossa anthrenoides,Cerophytum cayennense,0.16,not synonym,not synonym,Levenshtein,0.7
Micromalthus debilis,Micromalthus anansi,0.7,synonym,synonym,Levenshtein,0.7
Ceracis thoracicornis,Ennearthron mellyi,0.1905,not synonym,synonym,Levenshtein,0.7
Chibizo formosensis,Nanophyes basilineatus,0.1364,not synonym,synonym,Levenshtein,0.7
Xylographus subsinuatus,Xylographus rufescens,0.6087,not synonym,synonym,Levenshtein,0.7
Sefrania bleusei,Zonitis nigripennis,0.1579,not synonym,not synonym,Levenshtein,0.7
Trachypachus inermis,Trachypachus holmbergi,0.6818,not synonym,synonym,Levenshtein,0.7
Cis levettei,Xestocis levettei,0.7059,synonym,synonym,Levenshtein,0.7
Ceracis californicus,Ceracis grossulus,0.55,not synonym,synonym,Levenshtein,0.7
Orthocis testaceofasciatus,Cis testaceofasciatus,0.8077,synonym,synonym,Levenshtein,0.7
Attagenus brunneus,Attagenus elongatus,0.6842,not synonym,synonym,Levenshtein,0.7
Trachypachus gibbsii,Ennearthron oblongus,0.0,not synonym,not synonym,Levenshtein,0.7
Ceracis thoracicornis,Hadraule coarctata,0.2381,not synonym,not synonym,Levenshtein,0.7
Hadraule elongatula,Cis perrisi,0.0526,not synonym,not synonym,Levenshtein,0.7
Trogoderma glabrum,Anthrenus niger,0.1667,not synonym,synonym,Levenshtein,0.7
Dolichocera schanus,Dolichocera schanus,1.0,synonym,synonym,Levenshtein,0.7
Heterocerus maritimus,Heterocerus basalis,0.7143,synonym,synonym,Levenshtein,0.7
Orthocis linearis,Thaumaphrastus heydeni,0.1364,not synonym,not synonym,Levenshtein,0.7
Eurymeloe baudueri,Thorictodes karanisensis,0.25,not synonym,not synonym,Levenshtein,0.7
Labrocerus setosus,Labrocerus affinis,0.6667,not synonym,synonym,Levenshtein,0.7
Augyles aureolus,Heterocerus aureolus,0.55,not synonym,synonym,Levenshtein,0.7
Ceracis cornifer,Ennearthron corniferum,0.5,not synonym,synonym,Levenshtein,0.7
Theticephalus decamerus,Cis cylindricus,0.2174,not synonym,not synonym,Levenshtein,0.7
Mycterus quadricollis,Mycterus depressus,0.5238,not synonym,synonym,Levenshtein,0.7
Kantohia taiwana,Shiva taiwanus,0.5,not synonym,synonym,Levenshtein,0.7
Ceracis cornifer,Meloe baudueri,0.1875,not synonym,not synonym,Levenshtein,0.7
Theticephalus mesopotamicus,Cybocephalus mesopatamicus,0.7778,synonym,synonym,Levenshtein,0.7
Ceracis californicus,Ennearthron convergens,0.1818,not synonym,synonym,Levenshtein,0.7
Strigocis bilimeki,Ennearthron transversatus,0.08,not synonym,not synonym,Levenshtein,0.7
Protaedus matertera,Protaedus materta,0.8947,synonym,synonym,Levenshtein,0.7
Ceracis thoracicornis,Meloe punctatus,0.1905,not synonym,not synonym,Levenshtein,0.7
Labrocerus similaris,Attagenus marginicollis,0.3478,not synonym,not synonym,Levenshtein,0.7
Attagenus trifasciatus,Attagenus 3-fasciatus,0.8636,synonym,synonym,Levenshtein,0.7
Ceracis thoracicornis,Ceracis thoracicus,0.8095,synonym,synonym,Levenshtein,0.7
Ceracis curtus,Ennearthron compactus,0.3333,not synonym,synonym,Levenshtein,0.7
Attagenus fasciatus,Attagenus gloriosae,0.5789,not synonym,synonym,Levenshtein,0.7
Trogoderma glabrum,Trogoderma niger,0.6667,not synonym,synonym,Levenshtein,0.7
Cis castlei,Xestocis castlei,0.6875,not synonym,synonym,Levenshtein,0.7
Cybocephalus binotatus,Cybocephalus aeneonittens,0.68,not synonym,synonym,Levenshtein,0.7
Protaedus butoniensis,Protaedus butoniense,0.9048,synonym,synonym,Levenshtein,0.7
Orphinus fulvipes,Trogoderma fulvipes,0.5263,not synonym,synonym,Levenshtein,0.7
Strigocis bicornis,Strigocis fronticornis,0.7727,synonym,synonym,Levenshtein,0.7
Hadraule elongatula,Orthocis perrisi,0.0526,not synonym,not synonym,Levenshtein,0.7
Tophoderes depontanus,Syntophoderes depontanus,0.875,synonym,synonym,Levenshtein,0.7
Porculus dufaui,Necromera longicornis,0.1905,not synonym,not synonym,Levenshtein,0.7
Exillis aeruginosus,Exillis aeroginosus,0.9474,synonym,synonym,Levenshtein,0.7
Electranthribus zherikhini,Ceracis thoracicinus,0.3077,not synonym,not synonym,Levenshtein,0.7
Ceracis cornifer,Ceracis simplicicornis,0.5,not synonym,synonym,Levenshtein,0.7
Cis castaneus,Kateretes castaneus,0.5789,not synonym,synonym,Levenshtein,0.7
Ctesias serra,Epicerastes viridanus,0.2857,not synonym,not synonym,Levenshtein,0.7
Ceracis thoracicornis,Ceracis piceus,0.5238,not synonym,synonym,Levenshtein,0.7
Sulcacis curtulus,Sulcacis criddlei,0.6471,not synonym,synonym,Levenshtein,0.7
Ceracis californicus,Ennearthron californicus,0.625,not synonym,synonym,Levenshtein,0.7
Theticephalus mesopotamicus,Sulcacis sorror,0.2222,not synonym,not synonym,Levenshtein,0.7
Sulcacis curtulus,Xestocis opalescens,0.2632,not synonym,not synonym,Levenshtein,0.7
Orthocis punctatus,Cis punctatus,0.7222,synonym,synonym,Levenshtein,0.7
Ceracis minutissimus,Labrocerus affinis,0.2,not synonym,not synonym,Levenshtein,0.7
Ceracis thoracicornis,Cis montana,0.2857,not synonym,not synonym,Levenshtein,0.7
Sulcacis curtulus,Ceracis thoracicus,0.3889,not synonym,not synonym,Levenshtein,0.7
Sulcacis curtulus,Cis cylindricus,0.2353,not synonym,synonym,Levenshtein,0.7
Nanomimus hemisphaericus,Cis sorror,0.2083,not synonym,not synonym,Levenshtein,0.7
Eurymeloe baudueri,Meloe baudueri,0.7778,synonym,synonym,Levenshtein,0.7
Trachypachus gibbsii,Trogoderma nigrum,0.2,not synonym,not synonym,Levenshtein,0.7
Ceracis thoracicornis,Ceracis bifoveatus,0.4286,not synonym,synonym,Levenshtein,0.7
Cis striatulus,Hadraule striatulus,0.5789,not synonym,synonym,Levenshtein,0.7
Ceracis bicornis,Ennearthron bicornis,0.55,not synonym,synonym,Levenshtein,0.7
Cis krausi,Cybocephalus gressitti,0.2727,not synonym,not synonym,Levenshtein,0.7
Heterocerus crinitus,Entypus bicornis,0.3,not synonym,not synonym,Levenshtein,0.7
Labrocerus vestitus,Ennearthron sallei,0.1053,not synonym,not synonym,Levenshtein,0.7
Ceracis californicus,Ceracis oregonus,0.6,not synonym,synonym,Levenshtein,0.7
Cerocoma schaefferi,Cerocoma viridis,0.4737,not synonym,synonym,Levenshtein,0.7
Protaedus frontaltus,Protaedus fontaltus,0.95,synonym,synonym,Levenshtein,0.7
Labrocerus similaris,Labrocerus simplex,0.75,synonym,not synonym,Levenshtein,0.7
Sulcacis curtulus,Sulcacis cylindricus,0.6,not synonym,synonym,Levenshtein,0.7
Trachypachus gibbsii,Trachypachus alticola,0.619,not synonym,synonym,Levenshtein,0.7
Sulcacis nitidus,Ennearthron affine,0.1111,not synonym,synonym,Levenshtein,0.7
Sulcacis curtulus,Temnalysis axeli,0.1765,not synonym,not synonym,Levenshtein,0.7
Pacicephalus gressitti,Kateretes castaneus,0.1818,not synonym,not synonym,Levenshtein,0.7
Ennearthron palmi,Ennearthron filum,0.7647,synonym,synonym,Levenshtein,0.7
Baissophytum amplus,Anthrenus niger,0.1579,not synonym,not synonym,Levenshtein,0.7
Sulcacis fronticornis,Necromera intermedia,0.1905,not synonym,not synonym,Levenshtein,0.7
Cis krausi,Mycterus curculionoides,0.2609,not synonym,not synonym,Levenshtein,0.7
Ademosynoides chinatica,Toksunius chinaticus,0.5217,not synonym,synonym,Levenshtein,0.7
Idiomerus musculus,Cybocephalus areolatus,0.3182,not synonym,not synonym,Levenshtein,0.7
Hycleus polymorphus,Mylabris polymorpha,0.5789,not synonym,synonym,Levenshtein,0.7
Theticephalus mesopotamicus,Mylabris phalerata,0.2222,not synonym,not synonym,Levenshtein,0.7
Theticephalus aurocupreus,Cis testaceofasciatus,0.24,not synonym,not synonym,Levenshtein,0.7
Tophoderes sinuatocollis,Tophoderes sinuaticollis,0.9583,synonym,synonym,Levenshtein,0.7
Strigocis opalescens,Heterocerus basalis,0.25,not synonym,not synonym,Levenshtein,0.7
Sulcacis nitidus,Critoderma deplanatum,0.0952,not synonym,not synonym,Levenshtein,0.7
Hadraule elongatula,Necromera brevicornis,0.0952,not synonym,not synonym,Levenshtein,0.7
Strongylites stygius,Ceracis coloradensis,0.1,not synonym,not synonym,Levenshtein,0.7
Orthocis coluber,Labrocerus pallipes,0.3158,not synonym,not synonym,Levenshtein,0.7
Mycterus quadricollis,Ennearthron cucullatum,0.1364,not synonym,not synonym,Levenshtein,0.7
Ceracis californicus,Cybocephalus mesopotamicus,0.3846,not synonym,not synonym,Levenshtein,0.7
Cybocephalus politissimus,Xestocis miles,0.24,not synonym,not synonym,Levenshtein,0.7
Electranthribus zherikhini,Trogoderma fulvipes,0.1538,not synonym,not synonym,Levenshtein,0.7
Orphinus fulvipes,Orphinus brevicornis,0.6,not synonym,synonym,Levenshtein,0.7
Sulcacis bidentulus,Cis alpinus,0.3684,not synonym,synonym,Levenshtein,0.7
Orthocis transversatus,Orthocis pallidus,0.5455,not synonym,synonym,Levenshtein,0.7
Malacocis brevicollis,Heterocerus aureolus,0.2857,not synonym,not synonym,Levenshtein,0.7
Theticephalus decamerus,Cybocephalus decamerus,0.7826,synonym,synonym,Levenshtein,0.7
Protaedus robusticornis,Protaedus robusticorne,0.913,synonym,synonym,Levenshtein,0.7
Orthocis punctatus,Attagenus anulifer,0.1667,not synonym,not synonym,Levenshtein,0.7
Sulcacis nitidus,Argocerus similaris,0.3158,not synonym,not synonym,Levenshtein,0.7
Ooides denudatus,Ooidellus denudatus,0.8421,synonym,synonym,Levenshtein,0.7
Labrocerus similaris,Baissopsis amplus,0.3,not synonym,not synonym,Levenshtein,0.7
Sulcacis fronticornis,Rhopalodontus fronticornis,0.5769,not synonym,synonym,Levenshtein,0.7
Pseudorobitis miwai,Nanophyes miwai,0.4211,not synonym,synonym,Levenshtein,0.7
Trachypachus gibbsii,Nanodes gracilis,0.2,not synonym,not synonym,Levenshtein,0.7
Thorictodes heydeni,Thaumaphrastus heydeni,0.5,not synonym,synonym,Levenshtein,0.7
Ceracis curtus,Meloe laticollis,0.1875,not synonym,not synonym,Levenshtein,0.7
Ceracis californicus,Ennearthron grossulus,0.1905,not synonym,synonym,Levenshtein,0.7
Orthocis transversatus,Ennearthron laricinum,0.1364,not synonym,not synonym,Levenshtein,0.7
Sulcacis curtulus,Sulcacis montana,0.5882,not synonym,synonym,Levenshtein,0.7
Cis krausi,Cis alter,0.4,not synonym,not synonym,Levenshtein,0.7
Sulcacis curtulus,Sulcacis niger,0.5294,not synonym,synonym,Levenshtein,0.7
Orphinus fulvipes,Meloe cephalotes,0.1765,not synonym,not synonym,Levenshtein,0.7
Cis krausi,Cybocephalus aeneonittens,0.2,not synonym,not synonym,Levenshtein,0.7
Anthribus nebulosus,Anthribus variegatus,0.6,not synonym,synonym,Levenshtein,0.7
Protaedus robusticornis,Sulcacis niger,0.2174,not synonym,not synonym,Levenshtein,0.7
Trachypachus inermis,Trachypachus specularis,0.6957,not synonym,synonym,Levenshtein,0.7
Sulcacis curtulus,Cis sorror,0.2941,not synonym,synonym,Levenshtein,0.7
Ceracis thoracicornis,Ennearthron oblongus,0.2381,not synonym,synonym,Levenshtein,0.7
Rhopalodontus strandi,Orthocis latifrons,0.1905,not synonym,not synonym,Levenshtein,0.7
Trachypachus zetterstedtii,Trachypachus laticollis,0.5769,not synonym,synonym,Levenshtein,0.7
