species,oldSpeciesCanonicalName,similarity,prediction,model,threshold,pooling
Agnoea lavandulae,Borkhausenia ardosiella,0.9962,synonym,gpt2-medium,0.7,last_token
Agnoea lavandulae,Borkhausenia lavandulae,0.9993,synonym,gpt2-medium,0.7,last_token
Agnoea lavandulae,Borkhausenia pulverisquamis,0.9938,synonym,gpt2-medium,0.7,last_token
Agnoea lavandulae,Oecophora ardosiella,0.9982,synonym,gpt2-medium,0.7,last_token
Agnoea lavandulae,Pseudatemelia lavandulae,0.9993,synonym,gpt2-medium,0.7,last_token
Agnoea pallidella,Borkhausenia pallidella,0.9994,synonym,gpt2-medium,0.7,last_token
Agnoea pallidella,Pseudatemelia pallidella,0.9995,synonym,gpt2-medium,0.7,last_token
Agnoea semifuscata,Pseudatemelia semifuscata,0.9988,synonym,gpt2-medium,0.7,last_token
Agnoea subgilvida,Pseudatemelia subgilvida,0.9992,synonym,gpt2-medium,0.7,last_token
Agnoea subgilvida,Tubuliferola subgilvida,0.999,synonym,gpt2-medium,0.7,last_token
Agnoea subochreella,Agnoea panzerella,0.9983,synonym,gpt2-medium,0.7,last_token
Agnoea subochreella,Pseudatemelia panzerella,0.9967,synonym,gpt2-medium,0.7,last_token
Agnoea subochreella,Pseudatemelia subochreella,0.9993,synonym,gpt2-medium,0.7,last_token
Agnoea subochreella,Tubuliferola subochreella,0.9996,synonym,gpt2-medium,0.7,last_token
Agnoea synchrozella,Pseudatemelia synchrozella,0.9995,synonym,gpt2-medium,0.7,last_token
Agnoea xanthosoma,Pseudatemelia xanthosoma,0.9995,synonym,gpt2-medium,0.7,last_token
Atosia doenia,Parasa doenia,0.9989,synonym,gpt2-medium,0.7,last_token
Eukarschia mitis,Gephyrophora mitis,0.9988,synonym,gpt2-medium,0.7,last_token
Euphlyctina phaeopasta,Araeogyia phaeopasta,0.9997,synonym,gpt2-medium,0.7,last_token
Lithacodes fasciola,Limacodes fasciola,0.9991,synonym,gpt2-medium,0.7,last_token
Lithacodes fasciola,Lithacodes belfragei,0.998,synonym,gpt2-medium,0.7,last_token
Lithacodes fasciola,Lithacodes divergens,0.9974,synonym,gpt2-medium,0.7,last_token
Lithacodes fasciola,Lithacodes laticlavia,0.999,synonym,gpt2-medium,0.7,last_token
Lithacodes fiskeana,Tortricidia fiskeana,0.9959,synonym,gpt2-medium,0.7,last_token
Parapluda incincta,Apluda incincta,0.9999,synonym,gpt2-medium,0.7,last_token
Parapluda incincta,Apluda schaliphlebia,0.9994,synonym,gpt2-medium,0.7,last_token
Parapluda incincta,Parapluda schaliphlebia,0.9994,synonym,gpt2-medium,0.7,last_token
Parapluda invitabilis,Apluda similis,0.9997,synonym,gpt2-medium,0.7,last_token
Parapluda invitabilis,Heterogenea invitabilis,0.9982,synonym,gpt2-medium,0.7,last_token
Parapluda invitabilis,Parapluda similis,0.9998,synonym,gpt2-medium,0.7,last_token
Parapluda monogramma,Apluda monogramma,0.9999,synonym,gpt2-medium,0.7,last_token
Parapluda syngrapha,Apluda syngrapha,0.9998,synonym,gpt2-medium,0.7,last_token
Euclea aemilia,Bombyx aemilia,0.9988,synonym,gpt2-medium,0.7,last_token
Euclea aemilia,Euclea discolor,0.995,synonym,gpt2-medium,0.7,last_token
Euclea bidiscalis,Miresa doriens,0.9906,synonym,gpt2-medium,0.7,last_token
Euclea byrne,Metraga byrne,0.9982,synonym,gpt2-medium,0.7,last_token
Euclea cippus,Bombyx cippus,0.9986,synonym,gpt2-medium,0.7,last_token
Euclea cippus,Phalaena cippus,0.9992,synonym,gpt2-medium,0.7,last_token
Euclea copac,Neomiresa copac,0.9949,synonym,gpt2-medium,0.7,last_token
Euclea delphinii,Empretia paenulata,0.998,synonym,gpt2-medium,0.7,last_token
Euclea delphinii,Euclea bifida,0.9954,synonym,gpt2-medium,0.7,last_token
Euclea delphinii,Euclea elliotii,0.9997,synonym,gpt2-medium,0.7,last_token
Euclea delphinii,Euclea ferruginea,0.9987,synonym,gpt2-medium,0.7,last_token
Euclea delphinii,Euclea interjecta,0.9991,synonym,gpt2-medium,0.7,last_token
Euclea delphinii,Euclea mira,0.9972,synonym,gpt2-medium,0.7,last_token
Euclea delphinii,Euclea monitor,0.9958,synonym,gpt2-medium,0.7,last_token
Euclea delphinii,Euclea strigata,0.9989,synonym,gpt2-medium,0.7,last_token
Euclea delphinii,Euclea viridiclava,0.9983,synonym,gpt2-medium,0.7,last_token
Euclea delphinii,Limacodes argentata,0.9982,synonym,gpt2-medium,0.7,last_token
Euclea delphinii,Limacodes delphinii,0.999,synonym,gpt2-medium,0.7,last_token
Euclea delphinii,Limacodes querceti,0.9949,synonym,gpt2-medium,0.7,last_token
Euclea delphinii,Limacodes quercicola,0.9974,synonym,gpt2-medium,0.7,last_token
Euclea delphinii,Nochelia tardigrada,0.9983,synonym,gpt2-medium,0.7,last_token
Euclea delphinii,Nyssia varia,0.9961,synonym,gpt2-medium,0.7,last_token
Euclea delphinii,Parasa excisa,0.9956,synonym,gpt2-medium,0.7,last_token
Euclea delphinii,Parasa incisa,0.9955,synonym,gpt2-medium,0.7,last_token
Euclea delphinii,Sibine varia,0.992,synonym,gpt2-medium,0.7,last_token
Euclea determinata,Metraga costilinea,0.999,synonym,gpt2-medium,0.7,last_token
Euclea dicolon,Phalaena dicolon,0.9994,synonym,gpt2-medium,0.7,last_token
Euclea diversa,Euclea retroversa,0.9996,synonym,gpt2-medium,0.7,last_token
Euclea diversa,Semyra diversa,0.9996,synonym,gpt2-medium,0.7,last_token
Euclea diversa,Teinorhyncha vericrux,0.996,synonym,gpt2-medium,0.7,last_token
Euclea dolosa,Hydrias dolosa,0.9982,synonym,gpt2-medium,0.7,last_token
Euclea norba,Sibine norba,0.9987,synonym,gpt2-medium,0.7,last_token
Euclea plugma,Euclea chiriquensis,0.9847,synonym,gpt2-medium,0.7,last_token
Euclea plugma,Euclea zygia,0.9935,synonym,gpt2-medium,0.7,last_token
Euclea plugma,Metraga colle,0.992,synonym,gpt2-medium,0.7,last_token
Euclea plugma,Metraga hoboa,0.9928,synonym,gpt2-medium,0.7,last_token
Euclea plugma,Metraga perplexa,0.9875,synonym,gpt2-medium,0.7,last_token
Euclea plugma,Phalaena plugma,0.9988,synonym,gpt2-medium,0.7,last_token
Euclea rufa,Neomires rufa,0.9972,synonym,gpt2-medium,0.7,last_token
Euclea spadicis,Monoleuca spadicis,0.9993,synonym,gpt2-medium,0.7,last_token
Pectinarosa alastor,Altha alastor,0.994,synonym,gpt2-medium,0.7,last_token
Melinaria campagnei,Parasa campagnei,0.9976,synonym,gpt2-medium,0.7,last_token
Melinaria repanda,Neaera repanda,0.9964,synonym,gpt2-medium,0.7,last_token
Melinaria repanda,Parasa repanda,0.9966,synonym,gpt2-medium,0.7,last_token
Caffricola cloeckneria,Bombyx cloeckneria,0.9986,synonym,gpt2-medium,0.7,last_token
Heringocena andobo,Pseudomocena andobo,0.9974,synonym,gpt2-medium,0.7,last_token
Heringocena difficilis,Pseudomocena difficilis,0.9997,synonym,gpt2-medium,0.7,last_token
Vipsania melanois,Pseudovipsania melanois,0.9998,synonym,gpt2-medium,0.7,last_token
Vipsania schevi,Lithacodes schevi,0.9987,synonym,gpt2-medium,0.7,last_token
Narosoideus flavidorsalis,Heterogena flavidorsalis,0.9996,synonym,gpt2-medium,0.7,last_token
Narosoideus flavidorsalis,Narosoideus flavissima,0.9989,synonym,gpt2-medium,0.7,last_token
Narosoideus flavidorsalis,Narosoideus micans,0.9895,synonym,gpt2-medium,0.7,last_token
Narosoideus fuscicostalis,Miresa fuscicostalis,0.9997,synonym,gpt2-medium,0.7,last_token
Narosoideus vulpina,Narosoideus apicipennis,0.9976,synonym,gpt2-medium,0.7,last_token
Narosoideus vulpina,Narosoideus aurisoma,0.9977,synonym,gpt2-medium,0.7,last_token
Narosoideus vulpina,Narosoideus formosanus,0.9987,synonym,gpt2-medium,0.7,last_token
Narosoideus vulpina,Narosoideus formosicola,0.9988,synonym,gpt2-medium,0.7,last_token
Narosoideus vulpina,Vipsania vulpina,0.9995,synonym,gpt2-medium,0.7,last_token
Cyclopterana reducta,Cycloptera reducta,0.9997,synonym,gpt2-medium,0.7,last_token
Altha peralbida,Thosea peralbida,0.9995,synonym,gpt2-medium,0.7,last_token
Narosopsis leucospila,Narosopsis vynia,0.9938,synonym,gpt2-medium,0.7,last_token
Ctenolita auribasalis,Miresa auribasalis,0.9995,synonym,gpt2-medium,0.7,last_token
Ctenolita auribasalis,Teinorhyncha auribasalis,0.9957,synonym,gpt2-medium,0.7,last_token
Ctenolita epargyra,Ctenolita cerdo,0.9971,synonym,gpt2-medium,0.7,last_token
Ctenolita epargyra,Teinorhyncha cerdo,0.9968,synonym,gpt2-medium,0.7,last_token
Ctenolita nobilior,Miresa nobilior,0.998,synonym,gpt2-medium,0.7,last_token
Ctenolita nobilior,Teinorhyncha nobilior,0.9977,synonym,gpt2-medium,0.7,last_token
Ctenolita pyrosomoides,Miresa pyrosomoides,0.9996,synonym,gpt2-medium,0.7,last_token
Ctenolita pyrosomoides,Teinorhyncha pyrosomoides,0.9994,synonym,gpt2-medium,0.7,last_token
Comanula uniformis,Comanula bipunctata,0.9984,synonym,gpt2-medium,0.7,last_token
Comanula uniformis,Hildala uniformis,0.9998,synonym,gpt2-medium,0.7,last_token
Narosa argentipuncta,Narosa narcha,0.9907,synonym,gpt2-medium,0.7,last_token
Narosa corusca,Narosa baibarana,0.995,synonym,gpt2-medium,0.7,last_token
Narosa corusca,Narosa ishidae,0.9987,synonym,gpt2-medium,0.7,last_token
Narosa corusca,Narosa shinshana,0.9962,synonym,gpt2-medium,0.7,last_token
Narosa corusca,Narosa takamukui,0.9949,synonym,gpt2-medium,0.7,last_token
Narosa nigrisigna,Heterogenea formosana,0.998,synonym,gpt2-medium,0.7,last_token
Narosa nigrisigna,Narosa ochracea,0.9925,synonym,gpt2-medium,0.7,last_token
Narosa nigrisigna,Narosa penicillata,0.999,synonym,gpt2-medium,0.7,last_token
Sansarea alenae,Euphlyctina alenae,0.9993,synonym,gpt2-medium,0.7,last_token
Sansarea circulifera,Trichogyia circulifera,0.9994,synonym,gpt2-medium,0.7,last_token
Macroplectrina apicalis,Macroplectra apicalis,0.9998,synonym,gpt2-medium,0.7,last_token
Macroplectrina semiaurantia,Macroplectra semiaurantia,0.9999,synonym,gpt2-medium,0.7,last_token
Brachiopsis vicina,Caffricola vicina,0.9994,synonym,gpt2-medium,0.7,last_token
Vipaka niveipennis,Narosa niveipennis,0.9992,synonym,gpt2-medium,0.7,last_token
Zinara ploetzi,Heterolepis ploetzi,0.9984,synonym,gpt2-medium,0.7,last_token
Magos xanthopus,Bietia xanthopus,0.9992,synonym,gpt2-medium,0.7,last_token
Anilina nubilata,Paryphanta nubilata,0.9997,synonym,gpt2-medium,0.7,last_token
Anilina personata,Paryphanta personata,0.9998,synonym,gpt2-medium,0.7,last_token
Anilina plebeia,Paryphanta plebeia,0.9996,synonym,gpt2-medium,0.7,last_token
Anilina tessmanni,Paryphanta tessmanni,0.9993,synonym,gpt2-medium,0.7,last_token
Mambara andamanensis,Hypoblechra andamanensis,0.9999,synonym,gpt2-medium,0.7,last_token
Mambara delocrossa,Birthama delocrossa,0.9984,synonym,gpt2-medium,0.7,last_token
Mambara haplopis,Birthama haplopis,0.9999,synonym,gpt2-medium,0.7,last_token
Mambara minimalis,Setora minimalis,0.9992,synonym,gpt2-medium,0.7,last_token
Chalcocelis albiguttatus,Altha pulchrimacula,0.9983,synonym,gpt2-medium,0.7,last_token
Chalcocelis albiguttatus,Doratifera hemistaura,0.9986,synonym,gpt2-medium,0.7,last_token
Chalcocelis albiguttatus,Doratifera nephrochrysa,0.9905,synonym,gpt2-medium,0.7,last_token
Chalcocelis albiguttatus,Limacodes albiguttatus,0.9988,synonym,gpt2-medium,0.7,last_token
Chalcocelis albiguttatus,Miresa fumifera,0.998,synonym,gpt2-medium,0.7,last_token
Chalcocelis albiguttatus,Miresa nigriplaga,0.9981,synonym,gpt2-medium,0.7,last_token
Chalcocelis albiguttatus,Miresa sanguineomaculata,0.999,synonym,gpt2-medium,0.7,last_token
Chalcocelis castanica,Chalcoscelis castanica,0.9999,synonym,gpt2-medium,0.7,last_token
Chrysopolomides nivea,Chrysopoloma nivea,0.9992,synonym,gpt2-medium,0.7,last_token
Soteira altilis,Parasa altilis,0.9997,synonym,gpt2-medium,0.7,last_token
Soteira grandis,Parasa grandis,0.9995,synonym,gpt2-medium,0.7,last_token
Soteira ostia,Latoia pseudostia,0.9988,synonym,gpt2-medium,0.7,last_token
Soteira ostia,Parasa ostia,0.9993,synonym,gpt2-medium,0.7,last_token
